L	D	resultado	R	PAPI_L2_TCA	fallo
256	1	9.349375	2048	2392	0
256	1	9.514551	2048	4394	0
256	1	9.104492	2048	1620	0
256	1	9.128809	2048	1167	0
256	1	9.161465	2048	1682	0
256	1	9.334531	2048	1847	0
256	1	9.126973	2048	1468	0
256	1	9.108516	2048	1857	0
256	1	9.102480	2048	1843	0
256	1	9.112559	2048	1814	0
256	5	9.290367	409	520	0
256	5	9.271785	409	497	0
256	5	9.242641	409	504	0
256	5	10.744450	409	1163	0
256	5	9.234132	409	527	0
256	5	9.244890	409	500	0
256	5	9.292910	409	515	0
256	5	9.239413	409	509	0
256	5	10.237164	409	922	0
256	5	11.691540	409	829	0
256	12	9.390469	256	500	0
256	12	9.411094	256	498	0
256	12	9.359531	256	510	0
256	12	9.453594	256	503	0
256	12	10.958281	256	823	0
256	12	9.434844	256	513	0
256	12	9.442813	256	515	0
256	12	9.350781	256	498	0
256	12	9.377187	256	503	0
256	12	9.363906	256	505	0
256	51	9.362031	256	507	0
256	51	9.401250	256	523	0
256	51	9.351562	256	496	0
256	51	9.420938	256	897	0
256	51	9.367656	256	489	0
256	51	9.393594	256	516	0
256	51	9.488750	256	534	0
256	51	9.660937	256	538	0
256	51	9.369375	256	496	0
256	51	9.342656	256	499	0
256	93	10.147031	256	5261	0
256	93	9.392188	256	5270	0
256	93	9.509844	256	5772	0
256	93	9.574687	256	6029	0
256	93	9.371406	256	5393	0
256	93	13.508437	256	12105	0
256	93	14.902812	256	15907	0
256	93	9.484844	256	6834	0
256	93	9.477656	256	6319	0
256	93	9.437344	256	6619	0
768	1	9.247487	6144	115579	0
768	1	9.099368	6144	115403	0
768	1	9.182884	6144	115664	0
768	1	9.090651	6144	115297	0
768	1	9.091322	6144	115457	0
768	1	9.096953	6144	115287	0
768	1	9.200964	6144	115482	0
768	1	9.118717	6144	115426	0
768	1	9.090918	6144	115546	0
768	1	9.092865	6144	115468	0
768	5	9.220847	1228	84557	0
768	5	9.267622	1228	84568	0
768	5	11.743290	1228	84340	0
768	5	9.225212	1228	84608	0
768	5	9.221075	1228	84821	0
768	5	9.221498	1228	85009	0
768	5	9.221238	1228	84470	0
768	5	14.593453	1228	82998	0
768	5	10.880912	1228	84356	0
768	5	13.611173	1228	83828	0
768	12	9.500937	768	81771	0
