L	D	resultado	R	PAPI_L3_TCA	fallo
3072	5	9.173599	4915	3591	0
3072	5	9.287154	4915	5652	0
3072	12	10.060078	3072	39533	0
3072	12	10.154987	3072	43791	0
3072	12	11.101979	3072	42757	0
3072	12	10.123672	3072	35158	0
3072	12	10.387266	3072	44405	0
3072	12	10.297591	3072	50721	0
3072	12	10.384583	3072	50313	0
3072	12	10.184896	3072	36728	0
3072	12	10.787526	3072	49467	0
3072	12	10.224219	3072	45277	0
3072	51	11.114818	3072	87314	0
3072	51	10.849831	3072	115887	0
3072	51	10.627943	3072	100545	0
3072	51	15.033516	3072	126116	0
3072	51	19.369440	3072	227249	0
3072	51	10.800990	3072	92401	0
3072	51	10.577865	3072	97402	0
3072	51	11.088867	3072	99521	0
3072	51	10.637891	3072	81298	0
3072	51	10.718021	3072	96098	0
3072	93	11.454505	3072	118563	0
3072	93	11.638997	3072	88209	0
3072	93	11.366354	3072	103085	0
3072	93	11.294427	3072	107126	0
3072	93	11.269401	3072	83069	0
3072	93	11.155026	3072	82619	0
3072	93	11.232513	3072	81603	0
3072	93	21.746992	3072	200638	0
3072	93	11.727031	3072	79272	0
3072	93	11.524180	3072	118671	0
8192	1	9.285809	65536	27190	0
8192	1	9.126580	65536	23358	0
8192	1	9.116610	65536	23379	0
8192	1	10.820483	65536	32751	0
8192	1	9.227647	65536	25928	0
8192	1	9.124695	65536	23889	0
8192	1	9.102382	65536	23084	0
8192	1	9.237745	65536	24425	0
8192	1	11.779463	65536	34003	0
8192	1	9.235765	65536	24246	0
8192	5	9.297557	13107	21390	0
8192	5	9.240375	13107	20808	0
8192	5	9.236283	13107	21076	0
8192	5	9.893944	13107	26032	0
8192	5	9.248307	13107	21041	0
8192	5	9.290193	13107	20906	0
8192	5	9.264665	13107	21772	0
8192	5	9.429242	13107	25033	0
8192	5	9.237168	13107	21668	0
8192	5	10.970910	13107	28586	0
8192	12	11.168086	8192	204942	0
8192	12	10.724380	8192	202461	0
8192	12	10.801831	8192	199358	0
8192	12	10.824478	8192	210539	0
8192	12	10.951025	8192	206350	0
8192	12	10.639966	8192	197071	0
8192	12	10.747480	8192	203558	0
8192	12	10.644648	8192	201154	0
8192	12	10.866714	8192	209679	0
8192	12	11.040649	8192	200630	0
8192	51	13.254849	8192	851844	0
8192	51	16.273257	8192	857226	0
8192	51	13.132036	8192	849860	0
8192	51	13.555630	8192	851429	0
8192	51	13.134199	8192	844535	0
8192	51	13.352813	8192	849580	0
8192	51	13.227329	8192	851965	0
8192	51	13.064600	8192	852039	0
8192	51	13.891089	8192	851127	0
8192	51	13.234023	8192	848527	0
8192	93	13.632080	8192	876266	0
8192	93	13.466104	8192	878200	0
8192	93	13.635488	8192	879975	0
8192	93	13.492861	8192	879851	0
8192	93	13.708599	8192	878169	0
8192	93	13.403345	8192	880466	0
8192	93	13.620874	8192	880099	0
8192	93	14.244385	8192	880407	0
8192	93	13.374741	8192	878743	0
8192	93	14.485728	8192	880246	0
16384	1	9.265093	131072	51899	0
16384	1	10.610765	131072	66879	0
16384	1	9.420930	131072	54238	0
16384	1	9.251483	131072	50688	0
16384	1	10.037875	131072	59205	0
16384	1	9.323754	131072	52065	0
16384	1	9.240688	131072	49852	0
16384	1	10.564122	131072	62494	0
16384	1	9.385277	131072	53455	0
16384	1	9.266777	131072	53489	0
16384	5	9.760192	26214	62850	0
16384	5	13.215323	26214	73165	0
16384	5	9.454792	26214	51714	0
16384	5	9.331858	26214	65230	0
16384	5	9.393848	26214	46404	0
16384	5	9.323728	26214	44383	0
16384	5	10.218947	26214	66117	0
16384	5	9.582501	26214	88224	0
16384	5	9.674162	26214	102009	0
16384	5	15.947491	26214	101558	0
16384	12	11.627024	16384	445135	0
16384	12	13.528733	16384	443225	0
16384	12	12.740898	16384	470284	0
16384	12	12.779539	16384	403688	0
16384	12	11.159431	16384	432201	0
16384	12	11.731292	16384	453197	0
16384	12	12.191882	16384	450472	0
16384	12	13.241677	16384	392659	0
16384	12	18.218528	16384	477694	0
16384	12	12.115959	16384	460523	0
16384	51	19.930979	16384	1706917	0
16384	51	22.810071	16384	1707544	0
16384	51	18.049995	16384	1704564	0
16384	51	33.153914	16384	1714749	0
16384	51	17.586375	16384	1706289	0
16384	51	20.207212	16384	1706253	0
16384	51	24.990876	16384	1709300	0
16384	51	17.481357	16384	1706356	0
16384	51	16.757373	16384	1700996	0
16384	51	18.261758	16384	1706594	0
16384	93	14.698088	16384	1761727	0
16384	93	14.243496	16384	1759833	0
