L	D	resultado	R	PAPI_L1_TCM	fallo
3072	5	13.823601	4915	339055	0
3072	5	9.306360	4915	338180	0
3072	5	10.797371	4915	338529	0
3072	5	9.485965	4915	338037	0
3072	5	9.165298	4915	338155	0
3072	5	9.271976	4915	338350	0
3072	12	10.112214	3072	326362	0
3072	12	10.167409	3072	326439	0
3072	12	11.482057	3072	326508	0
3072	12	10.221224	3072	326303	0
3072	12	10.274193	3072	326448	0
3072	12	9.983854	3072	326430	0
3072	12	10.180599	3072	326216	0
3072	12	10.361432	3072	326585	0
3072	12	10.152083	3072	326433	0
3072	12	10.633542	3072	326363	0
3072	51	10.576406	3072	326608	0
3072	51	10.551602	3072	326619	0
3072	51	31.147005	3072	330205	0
3072	51	10.710521	3072	326494	0
3072	51	10.458828	3072	326801	0
3072	51	10.505365	3072	326412	0
3072	51	10.863333	3072	326375	0
3072	51	10.523685	3072	326615	0
3072	51	10.650195	3072	326594	0
3072	51	10.737266	3072	326762	0
3072	93	11.838620	3072	330051	0
3072	93	11.192969	3072	330164	0
3072	93	11.331146	3072	330683	0
3072	93	11.228346	3072	330400	0
3072	93	11.798568	3072	331385	0
3072	93	23.409531	3072	334427	0
3072	93	12.840404	3072	331552	0
3072	93	11.744440	3072	330847	0
3072	93	11.481237	3072	330649	0
3072	93	11.134219	3072	330463	0
8192	1	9.152174	65536	1229566	0
8192	1	9.337587	65536	1229908	0
8192	1	9.507877	65536	1231009	0
8192	1	9.310898	65536	1230044	0
8192	1	9.112375	65536	1229768	0
8192	1	9.450562	65536	1230454	0
8192	1	9.460841	65536	1230496	0
8192	1	11.533936	65536	1235318	0
8192	1	9.153259	65536	1229636	0
8192	1	9.146949	65536	1229499	0
8192	5	9.230616	13107	901328	0
8192	5	9.495512	13107	901469	0
8192	5	9.267948	13107	901184	0
8192	5	9.244706	13107	901592	0
8192	5	9.628122	13107	901736	0
8192	5	9.279747	13107	901639	0
8192	5	11.389306	13107	903208	0
8192	5	10.002506	13107	901895	0
8192	5	9.338930	13107	901319	0
8192	5	9.247489	13107	901560	0
8192	12	10.645117	8192	870609	0
8192	12	11.563892	8192	871082	0
8192	12	10.696245	8192	870665	0
8192	12	10.647573	8192	870555	0
8192	12	10.613247	8192	870333	0
8192	12	10.987461	8192	870616	0
8192	12	10.798711	8192	870875	0
8192	12	10.714990	8192	870845	0
8192	12	10.812812	8192	870597	0
8192	12	13.802114	8192	871780	0
8192	51	16.799077	8192	882227	0
8192	51	13.024365	8192	881650	0
8192	51	13.140640	8192	881671	0
8192	51	13.106704	8192	881633	0
8192	51	14.278315	8192	881593	0
8192	51	12.976733	8192	881690	0
8192	51	13.008965	8192	881717	0
8192	51	13.130776	8192	881458	0
8192	51	13.052505	8192	881741	0
8192	51	22.491572	8192	882774	0
8192	93	13.265996	8192	890910	0
8192	93	13.284990	8192	890043	0
8192	93	13.290996	8192	890350	0
8192	93	13.278696	8192	890271	0
8192	93	13.328496	8192	890283	0
8192	93	13.397969	8192	890046	0
8192	93	14.437959	8192	890319	0
8192	93	13.234668	8192	890425	0
8192	93	14.724263	8192	890839	0
8192	93	13.303647	8192	890582	0
16384	1	9.882612	131072	2463303	0
16384	1	9.365406	131072	2460326	0
16384	1	9.262147	131072	2459775	0
16384	1	10.474935	131072	2466025	0
16384	1	9.319059	131072	2460359	0
16384	1	9.447440	131072	2460899	0
16384	1	10.947545	131072	2465041	0
16384	1	9.306557	131072	2459661	0
16384	1	9.233724	131072	2459072	0
16384	1	10.260345	131072	2464783	0
16384	5	9.892792	26214	1804182	0
16384	5	9.395605	26214	1802921	0
16384	5	9.278247	26214	1802683	0
16384	5	9.282545	26214	1802743	0
16384	5	9.537269	26214	1802778	0
16384	5	9.248406	26214	1802690	0
16384	5	9.779617	26214	1802778	0
16384	5	9.352844	26214	1802717	0
16384	5	9.454369	26214	1802765	0
16384	5	9.273060	26214	1802973	0
16384	12	11.137693	16384	1741314	0
16384	12	11.909407	16384	1741189	0
16384	12	12.466384	16384	1741452	0
16384	12	14.128271	16384	1743004	0
16384	12	12.909155	16384	1741375	0
16384	12	11.954556	16384	1740999	0
16384	12	14.880493	16384	1744303	0
16384	12	12.961909	16384	1741647	0
16384	12	13.697539	16384	1741327	0
16384	12	11.876814	16384	1741408	0
16384	51	15.258472	16384	1763234	0
16384	51	20.459524	16384	1763719	0
16384	51	22.795120	16384	1765092	0
16384	51	16.465686	16384	1763130	0
16384	51	16.058079	16384	1762986	0
16384	51	21.287295	16384	1763162	0
16384	51	16.366384	16384	1763242	0
16384	51	24.177712	16384	1764848	0
16384	51	16.052300	16384	1763240	0
16384	51	19.268564	16384	1763369	0
16384	93	17.173542	16384	1780526	0
16384	93	34.470554	16384	1785873	0
16384	93	14.809067	16384	1780696	0
16384	93	14.502710	16384	1781615	0
16384	93	14.854780	16384	1780042	0
16384	93	19.062554	16384	1781649	0
16384	93	14.106565	16384	1780488	0
16384	93	14.602261	16384	1781137	0
16384	93	17.317900	16384	1782006	0
16384	93	14.348171	16384	1781989	0
32768	1	9.398186	262144	4930988	0
32768	1	11.031222	262144	4935863	0
32768	1	10.312423	262144	4946380	0
32768	1	10.015246	262144	4935550	0
32768	1	13.911920	262144	4935736	0
32768	1	10.415441	262144	4929602	0
32768	1	10.531187	262144	4931274	0
32768	1	14.048806	262144	4930990	0
32768	1	9.560368	262144	4928548	0
32768	1	10.619859	262144	4934206	0
32768	5	17.534901	52428	3614682	0
32768	5	13.121887	52428	3614219	0
32768	5	12.309917	52428	3614239	0
32768	5	13.597480	52428	3616897	0
32768	5	10.288277	52428	3613871	0
32768	5	10.135987	52428	3613543	0
32768	5	10.610743	52428	3614288	0
32768	5	11.259773	52428	3614755	0
32768	5	12.639593	52428	3616180	0
32768	5	9.750200	52428	3613718	0
32768	12	17.113007	32768	3495608	0
32768	12	18.891907	32768	3495610	0
32768	12	22.712344	32768	3497009	0
32768	12	18.404362	32768	3497378	0
32768	12	20.706588	32768	3496750	0
32768	12	21.908690	32768	3496781	0
32768	12	29.430915	32768	3499644	0
32768	12	19.585962	32768	3495950	0
32768	12	20.691237	32768	3496400	0
32768	12	22.721088	32768	3495958	0
32768	51	26.004601	32768	3527184	0
32768	51	28.280115	32768	3528498	0
32768	51	26.250175	32768	3527277	0
32768	51	25.500112	32768	3527809	0
32768	51	26.166011	32768	3527328	0
32768	51	26.287261	32768	3527193	0
32768	51	26.248342	32768	3527311	0
32768	51	29.022185	32768	3528180	0
32768	51	26.936459	32768	3527093	0
32768	51	25.107820	32768	3526966	0
32768	93	26.891361	32768	3562320	0
32768	93	32.219738	32768	3564780	0
32768	93	26.798512	32768	3561342	0
32768	93	28.954303	32768	3561227	0
32768	93	28.768081	32768	3560723	0
32768	93	33.899370	32768	3563485	0
32768	93	28.030031	32768	3561438	0
32768	93	32.628851	32768	3561482	0
32768	93	33.019815	32768	3560743	0
32768	93	28.294994	32768	3561878	0
