L	D	resultado	R	PAPI_SR_INS	fallo
3072	5	9.170905	4915	983465	0
3072	5	9.178100	4915	983465	0
3072	5	9.183121	4915	983465	0
3072	5	10.709599	4915	983465	0
3072	5	9.240146	4915	983465	0
3072	5	9.212647	4915	983465	0
3072	5	9.186954	4915	983465	0
3072	5	9.197738	4915	983465	0
3072	5	9.427198	4915	983465	0
3072	12	10.148359	3072	614865	0
3072	12	10.427812	3072	614865	0
3072	12	10.133437	3072	614865	0
3072	12	9.944844	3072	614865	0
3072	12	10.327031	3072	614865	0
3072	12	11.989701	3072	614865	0
3072	12	10.208372	3072	614865	0
3072	12	10.327604	3072	614865	0
3072	12	10.093268	3072	614865	0
3072	12	10.279388	3072	614865	0
3072	51	11.055977	3072	614865	0
3072	51	11.090039	3072	614865	0
3072	51	10.806680	3072	614865	0
3072	51	11.244010	3072	614865	0
3072	51	11.365534	3072	614865	0
3072	51	10.893867	3072	614865	0
3072	51	10.938424	3072	614865	0
3072	51	11.043086	3072	614865	0
3072	51	15.364987	3072	614865	0
3072	51	10.516315	3072	614865	0
3072	93	11.032122	3072	614865	0
3072	93	11.449805	3072	614865	0
3072	93	15.560820	3072	614865	0
3072	93	11.602240	3072	614865	0
3072	93	11.384883	3072	614865	0
3072	93	12.137943	3072	614865	0
3072	93	11.468919	3072	614865	0
3072	93	11.620859	3072	614865	0
3072	93	11.400039	3072	614865	0
3072	93	11.711706	3072	614865	0
8192	1	9.139623	65536	13107665	0
8192	1	11.531968	65536	13107665	0
8192	1	9.171738	65536	13107665	0
8192	1	9.295624	65536	13107665	0
8192	1	9.277338	65536	13107665	0
8192	1	9.124237	65536	13107665	0
8192	1	11.373391	65536	13107665	0
8192	1	9.319984	65536	13107665	0
8192	1	9.401623	65536	13107665	0
8192	1	9.103643	65536	13107665	0
8192	5	9.357983	13107	2621865	0
8192	5	9.237809	13107	2621865	0
8192	5	9.251679	13107	2621865	0
8192	5	14.674095	13107	2621865	0
8192	5	9.279036	13107	2621865	0
8192	5	9.271464	13107	2621865	0
8192	5	9.379351	13107	2621865	0
8192	5	9.270729	13107	2621865	0
8192	5	9.262849	13107	2621865	0
8192	5	9.259092	13107	2621865	0
8192	12	11.356177	8192	1638865	0
8192	12	10.761982	8192	1638865	0
8192	12	10.784175	8192	1638865	0
8192	12	10.827085	8192	1638865	0
8192	12	11.317451	8192	1638865	0
8192	12	10.800117	8192	1638865	0
8192	12	19.626382	8192	1638865	0
8192	12	11.145142	8192	1638865	0
8192	12	10.799814	8192	1638865	0
8192	12	10.746094	8192	1638865	0
8192	51	13.937876	8192	1638865	0
8192	51	13.374761	8192	1638865	0
8192	51	13.314805	8192	1638865	0
8192	51	13.879521	8192	1638865	0
8192	51	13.137803	8192	1638865	0
8192	51	14.555190	8192	1638865	0
8192	51	13.587427	8192	1638865	0
8192	51	13.373794	8192	1638865	0
8192	51	13.424092	8192	1638865	0
8192	51	14.262612	8192	1638865	0
8192	93	13.639668	8192	1638865	0
8192	93	13.506816	8192	1638865	0
8192	93	13.640449	8192	1638865	0
8192	93	13.539858	8192	1638865	0
8192	93	13.452964	8192	1638865	0
8192	93	15.040313	8192	1638865	0
8192	93	13.610420	8192	1638865	0
