L	D	resultado	R	PAPI_L3_TCM	fallo
256	1	12.011978	2048	43	0
256	1	11.487690	2048	46	0
256	1	11.667334	2048	65	0
256	1	11.532441	2048	85	0
256	1	10.721328	2048	34	0
256	1	10.673613	2048	24	0
256	1	10.842988	2048	18	0
256	1	9.996660	2048	29	0
256	1	12.893262	2048	79	0
256	1	9.731943	2048	30	0
256	5	10.143667	409	25	0
256	5	9.819902	409	25	0
256	5	9.521858	409	24	0
256	5	9.518729	409	18	0
256	5	9.818973	409	23	0
256	5	9.247433	409	36	0
256	5	9.234328	409	29	0
256	5	9.236968	409	26	0
256	5	9.246748	409	25	0
256	5	15.774083	409	59	0
256	12	9.474531	256	59	0
256	12	9.386875	256	40	0
256	12	9.364062	256	25	0
256	12	9.413906	256	21	0
256	12	9.360312	256	25	0
256	12	9.376875	256	28	0
256	12	9.357656	256	26	0
256	12	9.585469	256	105	0
256	12	12.544063	256	42	0
256	12	9.362500	256	30	0
256	51	9.376875	256	23	0
256	51	9.471250	256	21	0
256	51	9.351719	256	27	0
256	51	9.365156	256	23	0
256	51	9.384063	256	33	0
256	51	9.497188	256	36	0
256	51	9.534062	256	38	0
256	51	9.441719	256	33	0
256	51	9.378594	256	23	0
256	51	9.362344	256	32	0
256	93	9.369687	256	26	0
256	93	9.477344	256	29	0
256	93	9.582500	256	52	0
256	93	9.380156	256	34	0
256	93	9.418125	256	37	0
256	93	15.283281	256	72	0
256	93	9.554375	256	48	0
256	93	9.388125	256	26	0
256	93	9.605313	256	58	0
256	93	9.479062	256	34	0
768	1	9.436230	6144	27	0
768	1	9.089173	6144	25	0
768	1	9.250924	6144	17	0
768	1	9.092728	6144	27	0
768	1	9.259922	6144	154	0
768	1	9.119505	6144	26	0
768	1	9.182174	6144	24	0
768	1	9.090234	6144	21	0
768	1	9.375788	6144	23	0
768	1	9.315319	6144	302	0
768	5	9.241075	1228	25	0
768	5	9.218697	1228	24	0
768	5	9.218795	1228	24	0
768	5	9.218925	1228	27	0
768	5	13.774951	1228	27	0
768	5	47.298599	1228	624	0
768	5	9.218599	1228	33	0
768	5	10.307036	1228	26	0
768	5	9.223160	1228	25	0
768	5	9.229577	1228	31	0
768	12	9.485625	768	27	0
768	12	12.647344	768	47	0
768	12	9.484375	768	28	0
768	12	9.476354	768	22	0
768	12	9.468021	768	26	0
768	12	9.478177	768	41	0
768	12	9.471771	768	46	0
768	12	9.474844	768	24	0
768	12	9.759375	768	63	0
768	12	10.867448	768	50	0
768	51	9.646875	768	188	0
768	51	9.500156	768	43	0
768	51	9.652552	768	41	0
768	51	9.601146	768	91	0
768	51	12.134115	768	89	0
768	51	9.616146	768	48	0
768	51	15.186458	768	60	0
768	51	15.252604	768	323	0
768	51	15.377969	768	345	0
768	51	9.474844	768	29	0
768	93	11.584792	768	207	0
768	93	9.641667	768	37	0
768	93	9.627708	768	37	0
768	93	10.475052	768	43	0
768	93	9.632969	768	36	0
768	93	9.758594	768	33	0
768	93	9.793021	768	209	0
768	93	9.639740	768	44	0
768	93	9.915417	768	49	0
768	93	9.746198	768	37	0
2048	1	9.169946	16384	26	0
2048	1	9.528372	16384	288	0
2048	1	9.110339	16384	19	0
2048	1	9.109365	16384	39	0
2048	1	13.587427	16384	439	0
2048	1	11.879849	16384	412	0
2048	1	9.120229	16384	24	0
2048	1	9.402815	16384	249	0
2048	1	9.237524	16384	30	0
2048	1	9.153313	16384	22	0
2048	5	9.458755	3276	23	0
2048	5	9.196435	3276	127	0
2048	5	9.191184	3276	41	0
2048	5	9.554286	3276	29	0
2048	5	9.175910	3276	18	0
2048	5	9.411160	3276	219	0
2048	5	9.650525	3276	26	0
2048	5	9.220855	3276	474	0
2048	5	9.184396	3276	39	0
2048	5	9.187631	3276	25	0
2048	12	9.705879	2048	55	0
2048	12	9.423711	2048	62	0
2048	12	17.346133	2048	162	0
2048	12	12.603926	2048	557	0
2048	12	9.670137	2048	24	0
2048	12	9.490527	2048	67	0
2048	12	9.728418	2048	155	0
2048	12	10.275371	2048	48	0
2048	12	10.521953	2048	396	0
2048	12	10.093164	2048	366	0
2048	51	9.901660	2048	248	0
2048	51	10.464043	2048	241	0
2048	51	9.836660	2048	91	0
2048	51	9.709141	2048	86	0
2048	51	10.282715	2048	339	0
2048	51	9.770918	2048	332	0
2048	51	9.934531	2048	298	0
2048	51	9.987246	2048	400	0
2048	51	10.002187	2048	261	0
2048	51	9.992793	2048	588	0
2048	93	10.004629	2048	733	0
2048	93	10.275820	2048	1607	0
2048	93	10.141465	2048	672	0
2048	93	10.179258	2048	1311	0
2048	93	9.990117	2048	572	0
2048	93	9.882871	2048	385	0
2048	93	9.948164	2048	297	0
2048	93	10.784160	2048	1667	0
2048	93	10.171777	2048	1056	0
2048	93	9.938672	2048	418	0
3072	1	9.107762	24576	55	0
3072	1	9.600718	24576	236	0
3072	1	9.090181	24576	85	0
3072	1	9.123947	24576	71	0
3072	1	12.214587	24576	392	0
3072	1	9.109360	24576	24	0
3072	1	9.473604	24576	275	0
3072	1	9.118573	24576	85	0
3072	1	9.139471	24576	30	0
3072	1	9.524670	24576	285	0
3072	5	9.393782	4915	235	0
3072	5	9.188395	4915	314	0
3072	5	9.187036	4915	213	0
3072	5	9.203548	4915	100	0
3072	5	9.351202	4915	28	0
3072	5	9.210702	4915	418	0
3072	5	9.187874	4915	219	0
3072	5	13.970262	4915	199	0
3072	5	11.860867	4915	627	0
3072	5	9.199381	4915	255	0
3072	12	9.936979	3072	30	0
3072	12	10.113698	3072	73	0
3072	12	10.009518	3072	37	0
3072	12	10.301081	3072	402	0
3072	12	10.433893	3072	72	0
3072	12	10.161953	3072	76	0
3072	12	10.163307	3072	335	0
3072	12	10.136393	3072	595	0
3072	12	10.173242	3072	78	0
3072	12	10.211042	3072	584	0
3072	51	11.056576	3072	1374	0
3072	51	10.986029	3072	578	0
3072	51	10.635534	3072	962	0
3072	51	11.521120	3072	1502	0
3072	51	11.141667	3072	1691	0
3072	51	10.841745	3072	2396	0
3072	51	10.555417	3072	316	0
3072	51	15.644596	3072	1651	0
3072	51	10.858815	3072	1052	0
3072	51	10.947370	3072	1203	0
3072	93	11.358099	3072	1405	0
3072	93	14.843477	3072	3065	0
3072	93	11.146510	3072	1223	0
3072	93	11.186315	3072	1170	0
3072	93	11.423268	3072	1165	0
3072	93	12.007604	3072	1865	0
3072	93	11.172669	3072	1274	0
3072	93	11.151419	3072	1529	0
3072	93	13.779753	3072	3882	0
3072	93	11.093359	3072	1135	0
8192	1	9.440882	65536	1024	0
8192	1	9.118499	65536	181	0
8192	1	9.139979	65536	808	0
8192	1	9.420518	65536	2285	0
8192	1	10.059667	65536	2349	0
8192	1	9.169080	65536	427	0
8192	1	9.112835	65536	121	0
8192	1	9.219730	65536	750	0
8192	1	10.603144	65536	4214	0
8192	1	9.271262	65536	252	0
8192	5	9.264189	13107	546	0
8192	5	9.248484	13107	401	0
8192	5	9.254670	13107	457	0
8192	5	9.856907	13107	1783	0
8192	5	9.229334	13107	202	0
8192	5	9.289168	13107	325	0
8192	5	9.230640	13107	153	0
8192	5	9.383780	13107	1294	0
8192	5	20.791080	13107	2195	0
8192	5	10.519170	13107	382	0
8192	12	10.812354	8192	3014	0
8192	12	10.682300	8192	392	0
8192	12	10.630811	8192	733	0
8192	12	12.235728	8192	1223	0
8192	12	10.818662	8192	977	0
8192	12	10.846680	8192	2272	0
8192	12	10.702734	8192	711	0
8192	12	12.091387	8192	1033	0
8192	12	10.911807	8192	1511	0
8192	12	10.680654	8192	1148	0
8192	51	15.453945	8192	9809	0
8192	51	13.225571	8192	9132	0
8192	51	13.030806	8192	6493	0
8192	51	13.237456	8192	9546	0
8192	51	13.132925	8192	6639	0
8192	51	14.948291	8192	15311	0
8192	51	13.062837	8192	5950	0
8192	51	13.122837	8192	6753	0
8192	51	13.333096	8192	9619	0
8192	51	20.810020	8192	13596	0
8192	93	13.380918	8192	9477	0
8192	93	13.451274	8192	8363	0
8192	93	13.592974	8192	10077	0
8192	93	13.445039	8192	9163	0
8192	93	13.371782	8192	9075	0
8192	93	14.091475	8192	8853	0
8192	93	13.467695	8192	11114	0
8192	93	14.332539	8192	11917	0
8192	93	13.500239	8192	9044	0
8192	93	13.860645	8192	11358	0
16384	1	9.295719	131072	7165	0
16384	1	9.623547	131072	16040	0
16384	1	9.142714	131072	2764	0
16384	1	9.408109	131072	5702	0
16384	1	10.739686	131072	14448	0
16384	1	9.281778	131072	5213	0
16384	1	9.190692	131072	4091	0
16384	1	10.145648	131072	20364	0
16384	1	9.394382	131072	13400	0
16384	1	9.312371	131072	11192	0
16384	5	10.008452	26214	33149	0
16384	5	12.150356	26214	15231	0
16384	5	9.858831	26214	23433	0
16384	5	9.465371	26214	23055	0
16384	5	9.375438	26214	3922	0
16384	5	9.288409	26214	2190	0
16384	5	9.252589	26214	2141	0
16384	5	9.390489	26214	6168	0
16384	5	9.299402	26214	1968	0
16384	5	10.966955	26214	25707	0
16384	12	11.114524	16384	16029	0
16384	12	11.216589	16384	23076	0
16384	12	11.602202	16384	31161	0
16384	12	11.343044	16384	28015	0
16384	12	13.770510	16384	52098	0
16384	12	11.920264	16384	66068	0
16384	12	11.531433	16384	37937	0
16384	12	11.552839	16384	21041	0
16384	12	18.171443	16384	150118	0
16384	12	12.339998	16384	47234	0
16384	51	18.958477	16384	88807	0
16384	51	17.386086	16384	75702	0
16384	51	16.881992	16384	70840	0
16384	51	35.765593	16384	276935	0
16384	51	19.365256	16384	125145	0
16384	51	17.459194	16384	101003	0
16384	51	17.047856	16384	60066	0
16384	51	18.495310	16384	129917	0
16384	51	23.136157	16384	143472	0
16384	51	17.215784	16384	82971	0
16384	93	15.415012	16384	89981	0
16384	93	15.228994	16384	47291	0
16384	93	24.706538	16384	165077	0
16384	93	14.829275	16384	46481	0
16384	93	14.749297	16384	40009	0
16384	93	15.472791	16384	64804	0
16384	93	15.148020	16384	39238	0
16384	93	14.463879	16384	34447	0
16384	93	15.856318	16384	84994	0
16384	93	15.072878	16384	64338	0
32768	1	9.905674	262144	81469	0
32768	1	14.300237	262144	81292	0
32768	1	9.840435	262144	54804	0
32768	1	12.024353	262144	66996	0
32768	1	9.523037	262144	70716	0
32768	1	9.741594	262144	78394	0
32768	1	12.309253	262144	63506	0
32768	1	9.505847	262144	57379	0
32768	1	10.911044	262144	81858	0
32768	1	16.421498	262144	78218	0
32768	5	14.891604	52428	181220	0
32768	5	13.174551	52428	181841	0
32768	5	12.092026	52428	96161	0
32768	5	15.371598	52428	174000	0
32768	5	10.259233	52428	166424	0
32768	5	10.224220	52428	173772	0
32768	5	11.249042	52428	211837	0
32768	5	10.888717	52428	235429	0
32768	5	11.960906	52428	195255	0
32768	5	9.828546	52428	129315	0
32768	12	18.588467	32768	706993	0
32768	12	21.231183	32768	847608	0
32768	12	25.348730	32768	953672	0
32768	12	19.475433	32768	743411	0
32768	12	21.442472	32768	839832	0
32768	12	20.389855	32768	780032	0
32768	12	29.889401	32768	1083976	0
32768	12	20.763256	32768	798793	0
32768	12	20.623541	32768	810227	0
32768	12	20.932919	32768	841971	0
32768	51	24.985321	32768	775793	0
32768	51	27.941129	32768	909962	0
32768	51	26.022177	32768	819261	0
32768	51	24.975610	32768	710013	0
32768	51	28.754695	32768	987503	0
32768	51	26.493966	32768	1022274	0
32768	51	28.389025	32768	964747	0
32768	51	25.205642	32768	766098	0
32768	51	26.490214	32768	761324	0
32768	51	24.270889	32768	656837	0
32768	93	27.933578	32768	874513	0
32768	93	31.303876	32768	834744	0
32768	93	28.356625	32768	899670	0
32768	93	35.602615	32768	937450	0
32768	93	28.589005	32768	903178	0
32768	93	28.088210	32768	855155	0
32768	93	30.591680	32768	1039049	0
32768	93	27.295949	32768	804297	0
32768	93	27.225012	32768	927147	0
32768	93	27.483019	32768	868570	0
