L	D	resultado	clockRate
256	1	13.469753	3392.4
256	2	19.362529	3392.4
256	10	20.243093	3392.4
256	50	21.983943	3392.4
256	90	20.411771	3392.4
768	1	19.227881	3392.4
768	2	18.172007	3392.4
768	10	20.076358	3392.4
768	50	20.967418	3392.4
768	90	21.008674	3392.4
2048	1	19.221724	3392.5
2048	2	19.261463	3392.4
2048	10	19.854467	3392.4
2048	50	20.143847	3392.4
2048	90	20.525352	3392.4
3072	1	19.262641	3392.4
3072	2	19.287598	3392.4
3072	10	22.090222	3392.5
3072	50	25.951688	3392.4
3072	90	21.938992	3392.4
8192	1	19.287726	3392.4
8192	2	19.430745	3392.4
8192	10	21.702798	3392.4
8192	50	27.703917	3392.4
8192	90	25.270474	3392.4
16384	1	19.248737	3392.4
16384	2	19.290904	3392.4
16384	10	21.630362	3392.4
16384	50	22.086195	3392.4
16384	90	20.350285	3392.4
32768	1	18.521313	3392.4
32768	2	18.469978	3392.5
32768	10	25.420889	3392.4
32768	50	25.935796	3392.5
32768	90	23.450158	3392.5
