L	D	resultado	R
256	1	11.059668	2048
256	1	11.189580	2048
256	1	11.213564	2048
256	1	19.584863	2048
256	1	11.006973	2048
256	1	11.557148	2048
256	1	10.586641	2048
256	1	13.495527	2048
256	1	11.241387	2048
256	1	10.015195	2048
256	1	9.988926	2048
256	1	10.690234	2048
256	1	10.634277	2048
256	1	10.262910	2048
256	1	10.351758	2048
256	1	9.982871	2048
256	1	10.005586	2048
256	1	9.997969	2048
256	1	9.992949	2048
256	1	10.478281	2048
256	1	12.295967	2048
256	1	9.696729	2048
256	1	9.680869	2048
256	1	10.556309	2048
256	1	9.365645	2048
256	1	13.011523	2048
256	1	9.492207	2048
256	1	9.169375	2048
256	1	9.467813	2048
256	1	9.238809	2048
256	1	9.159570	2048
256	1	9.100078	2048
256	1	9.111641	2048
256	1	9.102324	2048
256	1	9.375547	2048
256	1	10.135352	2048
256	1	9.232949	2048
256	1	9.107168	2048
256	1	9.099297	2048
256	1	9.237168	2048
256	1	9.093652	2048
256	1	9.101289	2048
256	1	9.248027	2048
256	1	9.096758	2048
256	1	9.211758	2048
256	1	9.221113	2048
256	1	9.226211	2048
256	1	9.216523	2048
256	1	9.218066	2048
256	1	9.218555	2048
256	1	10.034551	2048
256	1	9.241934	2048
256	1	9.153125	2048
256	1	9.215234	2048
256	1	10.258262	2048
256	1	9.229375	2048
256	1	9.101641	2048
256	1	9.097637	2048
256	1	9.227207	2048
256	1	9.226484	2048
256	1	9.094883	2048
256	1	9.234512	2048
256	1	9.108438	2048
256	1	9.106367	2048
256	1	9.227793	2048
256	1	9.095313	2048
256	1	9.105000	2048
256	1	9.228086	2048
256	1	9.099961	2048
256	1	9.234219	2048
256	1	9.234395	2048
256	1	9.106289	2048
256	1	9.147910	2048
256	1	10.119297	2048
256	1	9.284414	2048
256	1	9.101387	2048
256	1	9.331777	2048
256	1	9.351309	2048
256	1	9.104199	2048
256	1	9.106328	2048
256	1	9.230293	2048
256	1	9.101289	2048
256	1	9.183945	2048
256	1	9.091328	2048
256	1	9.095195	2048
256	1	9.102598	2048
256	1	9.098437	2048
256	1	9.096660	2048
256	1	9.353301	2048
256	1	9.090918	2048
256	1	9.100820	2048
256	1	9.108320	2048
256	1	9.104688	2048
256	1	9.141270	2048
256	1	9.167559	2048
256	1	9.484414	2048
256	1	9.141094	2048
256	1	9.095078	2048
256	1	9.458555	2048
256	1	9.235176	2048
256	5	9.221907	409
256	5	9.267775	409
256	5	9.259853	409
256	5	9.307482	409
256	5	9.241760	409
256	5	9.244792	409
256	5	10.376724	409
256	5	9.250954	409
256	5	9.247433	409
256	5	9.282152	409
256	5	9.256039	409
256	5	9.250954	409
256	5	9.237262	409
256	5	9.230513	409
256	5	9.240293	409
256	5	10.186308	409
256	5	9.259853	409
256	5	9.278826	409
256	5	9.225428	409
256	5	9.246748	409
256	5	9.226210	409
256	5	9.272958	409
256	5	9.239707	409
256	5	9.236284	409
256	5	14.037848	409
256	5	9.256919	409
256	5	9.426210	409
256	5	9.268264	409
256	5	9.256137	409
256	5	9.260831	409
256	5	9.213007	409
256	5	9.236968	409
256	5	9.263667	409
256	5	9.243814	409
256	5	9.242152	409
