L	D	resultado	R
256	1	17.898403	2048
256	1	12.553828	2048
256	1	18.379629	2048
256	1	18.129121	2048
256	1	17.228105	2048
256	5	17.073888	409
256	5	12.112347	409
256	5	15.803203	409
256	5	11.637262	409
256	5	12.220049	409
256	10	13.417813	256
256	10	9.412812	256
256	10	9.478750	256
256	10	9.362344	256
256	10	9.357969	256
256	17	9.329844	256
256	17	13.485000	256
256	17	9.460781	256
256	17	9.413438	256
256	17	9.382969	256
256	23	9.356875	256
256	23	21.532969	256
256	23	9.347656	256
256	23	9.714844	256
256	23	9.428281	256
256	39	9.282813	256
256	39	9.363750	256
256	39	10.006406	256
256	39	9.393437	256
256	39	9.310937	256
256	51	10.514688	256
256	51	9.492812	256
256	51	9.313906	256
256	51	9.305156	256
256	51	9.355625	256
256	76	10.116875	256
256	76	9.324375	256
256	76	9.472188	256
256	76	9.407344	256
256	76	9.270938	256
256	93	9.456563	256
256	93	11.497188	256
256	93	9.506719	256
256	93	9.494375	256
256	93	9.430000	256
256	98	9.395000	256
256	98	9.365937	256
256	98	9.408750	256
256	98	9.412969	256
256	98	9.407500	256
768	1	9.299727	6144
768	1	9.094349	6144
768	1	9.091165	6144
768	1	9.150273	6144
768	1	9.102018	6144
768	5	13.191466	1228
768	5	12.450391	1228
768	5	10.009707	1228
768	5	9.236873	1228
768	5	9.225928	1228
768	10	9.815573	768
768	10	9.406406	768
768	10	9.439792	768
768	10	9.447344	768
768	10	9.409740	768
768	17	9.661875	768
768	17	9.616771	768
768	17	9.611979	768
768	17	9.626875	768
768	17	9.619479	768
768	23	9.407500	768
768	23	9.403698	768
768	23	9.443490	768
768	23	9.406823	768
768	23	9.469427	768
768	39	9.669948	768
768	39	9.410833	768
768	39	9.734219	768
768	39	9.435156	768
768	39	9.423698	768
768	51	9.491250	768
768	51	9.732083	768
768	51	9.502552	768
768	51	9.480573	768
768	51	9.802865	768
768	76	9.674531	768
768	76	9.840521	768
768	76	9.593646	768
768	76	9.699948	768
768	76	9.618385	768
768	93	9.647760	768
768	93	9.635885	768
768	93	9.673021	768
768	93	9.634115	768
768	93	9.737969	768
768	98	9.741927	768
768	98	9.666458	768
768	98	9.820833	768
768	98	10.417813	768
768	98	10.282760	768
2048	1	9.136531	16384
2048	1	9.108474	16384
2048	1	9.194321	16384
2048	1	9.118337	16384
2048	1	10.386340	16384
2048	5	9.346276	3276
2048	5	9.200867	3276
2048	5	9.375617	3276
2048	5	12.445873	3276
2048	5	17.328120	3276
2048	10	28.067695	2048
2048	10	21.388691	2048
2048	10	10.124121	2048
2048	10	14.773359	2048
2048	10	15.055566	2048
2048	17	11.487441	2048
2048	17	11.652402	2048
2048	17	10.629570	2048
2048	17	10.382559	2048
2048	17	13.352285	2048
2048	23	12.029512	2048
2048	23	11.955059	2048
2048	23	11.301445	2048
2048	23	11.296680	2048
2048	23	10.914980	2048
2048	39	10.540293	2048
2048	39	10.338457	2048
2048	39	10.334492	2048
2048	39	10.992031	2048
2048	39	11.323477	2048
2048	51	10.185313	2048
2048	51	9.734414	2048
2048	51	9.722148	2048
2048	51	9.924023	2048
2048	51	10.330117	2048
2048	76	10.319473	2048
2048	76	10.274355	2048
2048	76	10.008340	2048
2048	76	11.177891	2048
2048	76	10.269687	2048
2048	93	9.979863	2048
2048	93	10.167949	2048
2048	93	10.248184	2048
2048	93	10.707012	2048
2048	93	10.323301	2048
2048	98	9.893672	2048
2048	98	10.223750	2048
2048	98	13.278574	2048
2048	98	12.844785	2048
2048	98	12.240508	2048
3072	1	9.111242	24576
3072	1	9.111743	24576
3072	1	9.299940	24576
3072	1	9.155076	24576
3072	1	9.101113	24576
3072	5	9.171402	4915
3072	5	9.525583	4915
3072	5	9.413021	4915
3072	5	9.424081	4915
3072	5	10.047772	4915
3072	10	10.046966	3072
3072	10	9.834687	3072
3072	10	9.999440	3072
3072	10	9.731940	3072
3072	10	9.883984	3072
3072	17	10.705716	3072
3072	17	11.241289	3072
3072	17	11.248802	3072
3072	17	10.692930	3072
3072	17	10.770677	3072
3072	23	11.490104	3072
3072	23	14.345104	3072
3072	23	13.553099	3072
3072	23	12.058620	3072
3072	23	11.978854	3072
3072	39	11.990690	3072
3072	39	12.124753	3072
3072	39	12.028659	3072
3072	39	12.272083	3072
3072	39	12.240404	3072
3072	51	11.122956	3072
3072	51	11.950026	3072
3072	51	11.163268	3072
3072	51	11.724844	3072
3072	51	12.168958	3072
3072	76	13.950664	3072
3072	76	11.900482	3072
3072	76	13.002995	3072
3072	76	16.660182	3072
3072	76	13.666549	3072
3072	93	14.380208	3072
3072	93	14.055417	3072
3072	93	14.649010	3072
3072	93	14.494414	3072
3072	93	15.554596	3072
3072	98	14.639154	3072
3072	98	14.446419	3072
3072	98	14.506693	3072
3072	98	14.625143	3072
3072	98	15.775833	3072
4096	1	9.134346	32768
4096	1	9.118756	32768
4096	1	9.520099	32768
4096	1	9.118590	32768
4096	1	9.123606	32768
4096	5	9.448405	6553
4096	5	11.028292	6553
4096	5	20.427539	6553
4096	5	9.415657	6553
4096	5	9.470911	6553
4096	10	10.744941	4096
4096	10	10.643936	4096
4096	10	10.518867	4096
4096	10	10.427129	4096
4096	10	11.190791	4096
4096	17	13.017480	4096
4096	17	11.676348	4096
4096	17	11.183193	4096
4096	17	11.252930	4096
4096	17	11.099814	4096
4096	23	13.363154	4096
