L	D	resultado	R
256	1	16.827813	2048
256	1	17.179458	2048
256	1	16.445322	2048
256	1	17.002227	2048
256	1	15.692559	2048
256	5	12.961956	409
256	5	9.587579	409
256	5	9.530954	409
256	5	9.554328	409
256	5	11.613985	409
256	10	9.537500	256
256	10	13.114219	256
256	10	14.133125	256
256	10	13.532031	256
256	10	9.659844	256
256	17	9.663594	256
256	17	9.732188	256
256	17	9.669531	256
256	17	9.564219	256
256	17	9.567969	256
256	23	9.659375	256
256	23	9.690000	256
256	23	9.676875	256
256	23	9.843125	256
256	23	9.957187	256
256	39	9.569375	256
256	39	9.674844	256
256	39	9.700000	256
256	39	9.653281	256
256	39	9.670469	256
256	51	9.707031	256
256	51	9.728906	256
256	51	9.415625	256
256	51	9.410000	256
256	51	9.390469	256
256	76	9.370781	256
256	76	9.387813	256
256	76	9.415469	256
256	76	9.496094	256
256	76	12.544063	256
256	93	14.413438	256
256	93	11.807813	256
256	93	9.841875	256
256	93	9.561094	256
256	93	10.088594	256
256	98	9.475000	256
256	98	9.438437	256
256	98	9.771875	256
256	98	9.661406	256
256	98	9.575000	256
768	1	9.173047	6144
768	1	9.092357	6144
768	1	9.138366	6144
768	1	9.293919	6144
768	1	9.090202	6144
768	5	9.233974	1228
768	5	9.269381	1228
768	5	9.305277	1228
768	5	9.233550	1228
768	5	10.891173	1228
768	10	13.677656	768
768	10	10.003958	768
768	10	10.155938	768
768	10	9.837344	768
768	10	11.893854	768
768	17	9.838698	768
768	17	9.791510	768
768	17	9.619740	768
768	17	9.741563	768
768	17	9.608594	768
768	23	9.538177	768
768	23	9.480313	768
768	23	9.418646	768
768	23	9.416771	768
768	23	9.908385	768
768	39	9.481302	768
768	39	9.543802	768
768	39	11.292188	768
768	39	9.934375	768
768	39	9.441979	768
768	51	9.864896	768
768	51	9.560104	768
768	51	9.529167	768
768	51	9.909792	768
768	51	9.819948	768
768	76	10.777500	768
768	76	9.595156	768
768	76	9.607344	768
768	76	9.667917	768
768	76	9.589427	768
768	93	9.772604	768
768	93	10.328646	768
768	93	10.296042	768
768	93	10.104948	768
768	93	11.039271	768
768	98	10.848698	768
768	98	10.662604	768
768	98	10.845469	768
768	98	10.183958	768
768	98	10.081302	768
2048	1	9.608113	16384
2048	1	9.116133	16384
2048	1	9.111357	16384
2048	1	9.104465	16384
2048	1	9.108545	16384
2048	5	9.288498	3276
2048	5	11.402149	3276
2048	5	9.517900	3276
2048	5	10.009585	3276
2048	5	9.459121	3276
2048	10	9.362559	2048
2048	10	9.663340	2048
2048	10	14.978027	2048
2048	10	16.763242	2048
2048	10	16.115723	2048
2048	17	17.096953	2048
2048	17	17.941777	2048
2048	17	17.564355	2048
2048	17	13.012930	2048
2048	17	10.141445	2048
2048	23	10.995449	2048
2048	23	11.189141	2048
2048	23	11.177559	2048
2048	23	10.973398	2048
2048	23	11.090625	2048
2048	39	10.462246	2048
2048	39	10.119082	2048
2048	39	10.146367	2048
2048	39	10.510625	2048
2048	39	10.118066	2048
2048	51	10.326152	2048
2048	51	10.228008	2048
2048	51	10.311855	2048
2048	51	12.659766	2048
2048	51	12.341465	2048
2048	76	15.058086	2048
2048	76	11.520742	2048
2048	76	12.028164	2048
2048	76	11.291562	2048
2048	76	11.635000	2048
2048	93	12.080352	2048
2048	93	14.988301	2048
2048	93	12.400352	2048
2048	93	12.197910	2048
2048	93	12.082910	2048
2048	98	12.110391	2048
2048	98	12.882754	2048
2048	98	12.040273	2048
2048	98	12.851758	2048
2048	98	13.659043	2048
3072	1	9.140213	24576
3072	1	9.193942	24576
3072	1	9.390444	24576
3072	1	9.517458	24576
3072	1	9.173949	24576
3072	5	9.268053	4915
3072	5	9.275727	4915
3072	5	9.388028	4915
3072	5	9.562555	4915
3072	5	9.218368	4915
3072	10	10.169414	3072
3072	10	9.941289	3072
3072	10	10.416198	3072
3072	10	10.948281	3072
3072	10	10.925208	3072
3072	17	12.070924	3072
3072	17	11.933893	3072
3072	17	15.953021	3072
3072	17	11.466250	3072
3072	17	11.520781	3072
3072	23	11.803346	3072
3072	23	11.828021	3072
3072	23	12.258281	3072
3072	23	15.119271	3072
3072	23	12.387357	3072
3072	39	12.005195	3072
3072	39	12.039987	3072
3072	39	12.013229	3072
3072	39	12.251667	3072
3072	39	12.079570	3072
3072	51	10.981445	3072
3072	51	10.978477	3072
3072	51	11.192409	3072
3072	51	11.518620	3072
3072	51	10.854844	3072
3072	76	10.627305	3072
3072	76	10.901276	3072
3072	76	10.779896	3072
3072	76	10.412721	3072
3072	76	11.163815	3072
3072	93	11.200182	3072
3072	93	10.826016	3072
3072	93	11.627969	3072
3072	93	11.471003	3072
3072	93	11.403190	3072
3072	98	22.636563	3072
3072	98	13.195078	3072
3072	98	12.272135	3072
3072	98	11.503346	3072
3072	98	11.653932	3072
8192	1	9.383460	65536
8192	1	9.342457	65536
8192	1	9.142047	65536
8192	1	9.334805	65536
8192	1	9.334103	65536
8192	5	18.941595	13107
8192	5	13.730044	13107
8192	5	13.439346	13107
8192	5	13.134916	13107
8192	5	12.425422	13107
8192	10	13.657319	8192
8192	10	13.008940	8192
8192	10	11.459697	8192
8192	10	14.190618	8192
8192	10	13.570408	8192
8192	17	15.627393	8192
8192	17	14.830862	8192
8192	17	14.376416	8192
8192	17	16.541785	8192
8192	17	15.536472	8192
8192	23	13.362292	8192
8192	23	12.982727	8192
8192	23	12.685405	8192
8192	23	16.032800	8192
8192	23	13.631006	8192
8192	39	13.389883	8192
8192	39	13.383970	8192
8192	39	16.334790	8192
8192	39	13.781265	8192
8192	39	13.313970	8192
8192	51	13.047603	8192
8192	51	16.199082	8192
8192	51	13.945142	8192
8192	51	13.273496	8192
8192	51	13.964229	8192
8192	76	13.608789	8192
8192	76	13.621074	8192
8192	76	15.368394	8192
8192	76	13.552593	8192
8192	76	13.984492	8192
8192	93	14.331763	8192
8192	93	13.189854	8192
8192	93	14.816362	8192
8192	93	13.256875	8192
8192	93	13.770259	8192
8192	98	13.365532	8192
8192	98	13.590884	8192
8192	98	13.625859	8192
8192	98	13.346338	8192
8192	98	14.020522	8192
16384	1	9.372371	131072
16384	1	9.215992	131072
16384	1	9.252147	131072
16384	1	14.561043	131072
16384	1	14.556300	131072
16384	5	13.170529	26214
16384	5	12.731399	26214
16384	5	19.062939	26214
16384	5	17.098290	26214
16384	5	15.028739	26214
16384	10	17.967934	16384
16384	10	15.740085	16384
16384	10	14.012187	16384
16384	10	16.324302	16384
16384	10	12.927037	16384
16384	17	19.033788	16384
16384	17	17.768765	16384
16384	17	18.079941	16384
16384	17	25.852321	16384
16384	17	19.200822	16384
16384	23	30.109590	16384
16384	23	22.360249	16384
16384	23	23.437612	16384
16384	23	20.669060	16384
16384	23	25.240710	16384
16384	39	31.948547	16384
16384	39	25.234106	16384
16384	39	21.722751	16384
16384	39	33.065686	16384
16384	39	20.079534	16384
16384	51	17.769058	16384
16384	51	20.781343	16384
16384	51	19.596343	16384
16384	51	19.911477	16384
16384	51	19.780405	16384
16384	76	15.971426	16384
16384	76	16.576924	16384
16384	76	16.734241	16384
16384	76	15.724124	16384
16384	76	14.773000	16384
16384	93	17.683987	16384
16384	93	16.633630	16384
16384	93	15.518076	16384
16384	93	15.495413	16384
16384	93	15.326821	16384
16384	98	15.944946	16384
16384	98	15.112090	16384
16384	98	15.724736	16384
16384	98	14.740195	16384
16384	98	15.664414	16384
32768	1	9.338388	262144
32768	1	13.652408	262144
32768	1	14.220807	262144
32768	1	15.282406	262144
32768	1	10.785883	262144
32768	5	10.676453	52428
32768	5	10.532433	52428
32768	5	10.528564	52428
32768	5	10.097734	52428
32768	5	11.071472	52428
32768	10	15.455464	32768
32768	10	15.528792	32768
32768	10	16.812839	32768
32768	10	14.521377	32768
32768	10	15.469006	32768
32768	17	31.808943	32768
32768	17	30.826299	32768
32768	17	33.740907	32768
32768	17	31.698828	32768
32768	17	31.991206	32768
32768	23	32.849185	32768
32768	23	38.694456	32768
32768	23	36.306777	32768
32768	23	39.103571	32768
32768	23	36.350935	32768
32768	39	37.230889	32768
32768	39	34.147587	32768
32768	39	37.927998	32768
32768	39	33.586702	32768
32768	39	40.370409	32768
32768	51	28.507914	32768
32768	51	25.323840	32768
32768	51	28.134541	32768
32768	51	24.342349	32768
32768	51	28.009193	32768
32768	76	22.809191	32768
32768	76	22.410288	32768
32768	76	21.684777	32768
32768	76	22.457601	32768
32768	76	30.849200	32768
32768	93	32.580238	32768
32768	93	25.819067	32768
32768	93	29.247669	32768
32768	93	26.796248	32768
32768	93	31.759199	32768
32768	98	26.537627	32768
32768	98	32.917694	32768
32768	98	28.593835	32768
32768	98	27.087083	32768
32768	98	23.820724	32768
