L	D	resultado	R
256	1	9.158809	2048
256	1	9.233594	2048
256	1	9.209727	2048
256	1	9.105645	2048
256	1	9.218359	2048
256	1	9.236523	2048
256	1	9.217129	2048
256	1	9.222715	2048
256	1	10.000098	2048
256	1	9.237383	2048
256	1	9.248008	2048
256	1	9.217246	2048
256	1	9.242695	2048
256	1	9.115430	2048
256	1	9.224258	2048
256	1	9.224004	2048
256	1	9.097754	2048
256	1	9.243105	2048
256	1	12.308320	2048
256	1	12.754961	2048
256	1	13.421895	2048
256	1	10.753633	2048
256	1	11.956953	2048
256	1	9.131543	2048
256	1	9.402480	2048
256	1	9.108027	2048
256	1	9.122637	2048
256	1	9.140527	2048
256	1	9.164687	2048
256	1	9.208359	2048
256	1	9.123047	2048
256	1	9.126211	2048
256	1	9.364121	2048
256	1	9.209121	2048
256	1	9.138574	2048
256	1	9.188457	2048
256	1	11.100879	2048
256	1	12.695156	2048
256	1	11.219961	2048
256	1	10.186816	2048
256	1	9.180430	2048
256	1	9.441016	2048
256	1	9.384297	2048
256	1	10.159277	2048
256	1	9.448164	2048
256	1	9.123594	2048
256	1	9.103281	2048
256	1	9.237422	2048
256	1	9.213242	2048
256	1	9.547656	2048
256	1	9.234668	2048
256	1	9.227305	2048
256	1	9.570547	2048
256	1	9.233477	2048
256	1	9.093789	2048
256	1	9.300781	2048
256	1	9.111777	2048
256	1	10.015684	2048
256	1	10.515898	2048
256	1	9.898574	2048
256	1	9.115664	2048
256	1	9.109883	2048
256	1	9.223008	2048
256	1	9.215801	2048
256	1	9.170625	2048
256	1	9.114062	2048
256	1	9.134043	2048
256	1	9.096211	2048
256	1	9.089336	2048
256	1	9.097598	2048
256	1	9.096777	2048
256	1	9.106094	2048
256	1	9.105957	2048
256	1	9.096289	2048
256	1	9.096484	2048
256	1	9.097305	2048
256	1	9.112109	2048
256	1	9.101641	2048
256	1	12.797949	2048
256	1	9.785039	2048
256	1	9.440117	2048
256	1	9.141348	2048
256	1	9.105527	2048
256	1	9.118613	2048
256	1	9.102402	2048
256	1	9.098887	2048
256	1	9.090273	2048
256	1	9.111074	2048
256	1	9.118066	2048
256	1	9.101973	2048
256	1	9.100547	2048
256	1	9.106523	2048
256	1	9.103496	2048
256	1	9.106289	2048
256	1	9.141602	2048
256	1	9.102734	2048
256	1	9.111641	2048
256	1	9.117383	2048
256	1	9.121133	2048
256	1	9.131719	2048
256	5	9.748362	409
256	5	11.517555	409
256	5	10.378289	409
256	5	9.535061	409
256	5	9.253399	409
256	5	9.270709	409
256	5	9.282152	409
256	5	9.255061	409
256	5	9.239218	409
256	5	9.254963	409
256	5	9.247824	409
256	5	9.621222	409
256	5	9.282934	409
256	5	9.664156	409
256	5	9.241467	409
256	5	9.236186	409
256	5	9.246748	409
256	5	9.242152	409
256	5	9.250856	409
256	5	9.245379	409
256	5	9.258289	409
256	5	9.270416	409
256	5	9.258582	409
256	5	9.499951	409
256	5	9.723619	409
256	5	9.236870	409
256	5	9.254083	409
256	5	9.377995	409
256	5	9.247237	409
256	5	9.244890	409
256	5	9.252714	409
256	5	13.027873	409
256	5	10.449389	409
256	5	15.319707	409
256	5	9.495941	409
256	5	9.240196	409
256	5	9.245575	409
256	5	9.259658	409
256	5	9.267090	409
256	5	15.991980	409
256	5	9.468166	409
256	5	13.231883	409
256	5	17.788557	409
256	5	12.792958	409
256	5	11.553839	409
256	5	77.822005	409
256	5	9.241076	409
256	5	9.269144	409
256	5	9.255941	409
256	5	9.257408	409
256	5	9.230709	409
256	5	9.245477	409
256	5	9.242054	409
256	5	9.252910	409
256	5	23.676381	409
256	5	9.256724	409
256	5	9.270318	409
256	5	11.113936	409
256	5	11.952861	409
256	5	9.855746	409
256	5	9.275892	409
256	5	9.238142	409
256	5	9.285281	409
256	5	9.259951	409
256	5	9.262298	409
256	5	9.240782	409
256	5	9.252518	409
256	5	9.240098	409
256	5	9.240196	409
256	5	9.231002	409
256	5	9.231296	409
256	5	9.233643	409
256	5	9.278435	409
256	5	9.251247	409
256	5	9.265623	409
256	5	9.233252	409
256	5	9.234817	409
256	5	10.110513	409
256	5	9.253790	409
256	5	9.236577	409
256	5	9.245477	409
256	5	9.263472	409
256	5	9.246846	409
256	5	9.296235	409
256	5	9.248704	409
256	5	9.247922	409
256	5	9.404694	409
256	5	13.010660	409
256	5	10.156773	409
256	5	11.066406	409
256	5	11.049584	409
256	5	9.251932	409
256	5	9.241369	409
256	5	9.232958	409
256	5	9.225037	409
