L	D	resultado	R
256	1	13.092373	2048
256	1	13.106885	2048
256	1	12.890923	2048
256	1	13.086182	2048
256	1	12.427065	2048
256	1	18.008608	2048
256	1	12.510298	2048
256	1	12.392290	2048
256	1	12.406016	2048
256	1	11.901514	2048
256	1	12.054321	2048
256	1	11.938604	2048
256	1	17.518140	2048
256	1	9.110586	2048
256	1	9.322559	2048
256	1	12.548301	2048
256	1	9.233008	2048
256	1	9.408965	2048
256	1	9.109375	2048
256	1	9.351602	2048
256	1	9.358066	2048
256	1	9.176934	2048
256	1	9.357969	2048
256	1	9.210996	2048
256	1	9.671299	2048
256	1	9.946846	2048
256	1	9.510996	2048
256	1	9.376563	2048
256	1	9.695986	2048
256	1	9.780684	2048
256	1	9.758340	2048
256	1	9.280254	2048
256	1	9.190586	2048
256	1	9.236719	2048
256	1	9.216602	2048
256	1	9.270098	2048
256	1	9.231934	2048
256	1	9.226738	2048
256	1	9.537266	2048
256	1	9.212676	2048
256	1	9.221836	2048
256	1	9.298574	2048
256	1	9.092363	2048
256	1	9.099551	2048
256	1	9.726504	2048
256	1	9.101777	2048
256	1	9.241875	2048
256	1	9.279512	2048
256	1	9.105332	2048
256	1	9.099160	2048
256	1	9.590293	2048
256	1	9.101270	2048
256	1	11.062109	2048
256	1	9.297187	2048
256	1	9.163750	2048
256	1	9.224629	2048
256	1	9.107832	2048
256	1	9.099082	2048
256	1	9.107637	2048
256	1	9.109121	2048
256	1	9.098008	2048
256	1	9.106133	2048
256	1	9.101602	2048
256	1	9.099980	2048
256	1	9.114395	2048
256	1	9.107441	2048
256	1	9.098398	2048
256	1	9.093906	2048
256	1	9.100449	2048
256	1	9.090293	2048
256	1	9.108340	2048
256	1	9.109609	2048
256	1	9.098223	2048
256	1	9.104043	2048
256	1	11.125059	2048
256	1	10.057773	2048
256	1	9.294375	2048
256	1	9.584629	2048
256	1	9.113809	2048
256	1	9.131602	2048
256	1	9.293320	2048
256	1	9.418828	2048
256	1	9.103379	2048
256	1	9.327617	2048
256	1	9.101836	2048
256	1	9.095859	2048
256	1	9.502187	2048
256	1	9.097207	2048
256	1	9.110312	2048
256	1	9.096602	2048
256	1	9.099004	2048
256	1	9.098887	2048
256	1	9.102031	2048
256	1	9.105039	2048
256	1	9.106270	2048
256	1	9.112441	2048
256	1	9.119219	2048
256	1	9.696230	2048
256	1	9.172363	2048
256	1	9.350391	2048
256	5	9.242641	409
256	5	9.241467	409
256	5	9.271296	409
256	5	9.256919	409
256	5	9.285575	409
256	5	9.263081	409
256	5	9.269046	409
256	5	9.247824	409
256	5	9.226015	409
256	5	9.239804	409
256	5	9.259169	409
256	5	9.251540	409
256	5	9.965966	409
256	5	9.251247	409
256	5	9.256528	409
256	5	9.293692	409
256	5	9.260636	409
256	5	9.243716	409
256	5	9.239902	409
256	5	9.239315	409
256	5	9.268362	409
256	5	9.240782	409
256	5	9.233350	409
256	5	9.253203	409
256	5	9.253399	409
256	5	9.244303	409
256	5	9.248117	409
256	5	13.109731	409
256	5	9.247237	409
256	5	12.841858	409
256	5	9.265232	409
256	5	9.247335	409
256	5	9.256528	409
256	5	9.217115	409
256	5	9.255452	409
256	5	9.208606	409
256	5	9.258778	409
256	5	9.234328	409
256	5	13.308460	409
256	5	13.019267	409
256	5	13.197946	409
256	5	9.272176	409
256	5	13.094083	409
256	5	9.301418	409
256	5	9.271100	409
256	5	9.261418	409
256	5	12.997359	409
256	5	9.255550	409
256	5	9.266601	409
256	5	9.265526	409
256	5	9.232274	409
256	5	9.266406	409
256	5	24.761956	409
256	5	9.234719	409
256	5	10.291932	409
256	5	9.231002	409
256	5	9.425037	409
256	5	9.298875	409
256	5	9.249389	409
256	5	9.226308	409
256	5	9.273154	409
256	5	9.250073	409
256	5	9.231491	409
256	5	9.256528	409
256	5	9.254181	409
256	5	9.254963	409
256	5	9.249878	409
256	5	9.524205	409
256	5	9.250954	409
256	5	9.224548	409
256	5	9.245379	409
256	5	9.222103	409
256	5	9.242641	409
256	5	9.253301	409
256	5	9.265721	409
256	5	9.234621	409
256	5	9.256724	409
256	5	9.244792	409
256	5	9.269633	409
256	5	9.285183	409
256	5	9.233741	409
256	5	9.260733	409
256	5	9.237164	409
256	5	9.255159	409
256	5	9.274621	409
256	5	9.316577	409
256	5	9.288704	409
256	5	9.387286	409
256	5	9.264450	409
256	5	9.252127	409
256	5	9.227384	409
256	5	9.272958	409
256	5	9.253203	409
256	5	9.263961	409
256	5	9.265917	409
256	5	9.238337	409
256	5	9.250758	409
256	5	9.240196	409
256	5	9.218875	409
256	5	9.230122	409
256	12	9.374375	256
256	12	9.442031	256
256	12	9.380625	256
256	12	9.375312	256
256	12	9.396406	256
256	12	9.376875	256
256	12	9.376406	256
256	12	9.377500	256
256	12	9.366094	256
256	12	9.387344	256
256	12	9.391094	256
256	12	9.347812	256
256	12	9.412031	256
256	12	9.380000	256
256	12	9.407500	256
256	12	9.349687	256
256	12	9.372656	256
256	12	9.397187	256
256	12	9.376719	256
256	12	13.476719	256
256	12	9.395000	256
256	12	11.085313	256
256	12	9.349687	256
256	12	9.379375	256
256	12	9.389531	256
256	12	9.401719	256
256	12	9.399531	256
256	12	9.348750	256
256	12	9.375781	256
256	12	9.367969	256
256	12	9.417500	256
256	12	9.393594	256
256	12	9.373125	256
256	12	9.381719	256
256	12	9.380781	256
256	12	9.433125	256
256	12	9.384531	256
256	12	9.392656	256
256	12	9.390313	256
256	12	9.373906	256
256	12	10.987344	256
256	12	9.363594	256
256	12	9.400000	256
256	12	9.391719	256
256	12	9.337188	256
256	12	9.393281	256
256	12	9.364062	256
256	12	10.386094	256
256	12	9.365469	256
256	12	9.402188	256
256	12	9.429844	256
256	12	9.428906	256
256	12	9.357500	256
256	12	9.355937	256
256	12	13.399219	256
256	12	9.399688	256
256	12	9.414844	256
256	12	9.396562	256
256	12	9.434375	256
256	12	9.392344	256
256	12	9.403438	256
256	12	9.412031	256
256	12	9.433125	256
256	12	9.371406	256
256	12	9.422187	256
256	12	9.405156	256
256	12	9.447188	256
256	12	9.404844	256
256	12	9.380313	256
256	12	9.403125	256
256	12	9.387969	256
256	12	9.348125	256
256	12	9.398281	256
256	12	9.356250	256
256	12	9.386250	256
256	12	9.407344	256
256	12	9.350469	256
256	12	9.358438	256
256	12	9.355625	256
256	12	9.375781	256
256	12	9.371875	256
256	12	9.403594	256
256	12	9.399219	256
256	12	9.382969	256
256	12	9.376250	256
256	12	9.387813	256
256	12	9.390625	256
256	12	9.345000	256
256	12	9.394219	256
256	12	9.394219	256
256	12	9.570312	256
256	12	9.438281	256
256	12	9.367031	256
256	12	9.363750	256
256	12	9.359844	256
256	12	9.414531	256
256	12	9.391406	256
256	12	9.394531	256
256	12	9.371562	256
256	12	9.394219	256
256	51	9.365312	256
256	51	9.401719	256
256	51	9.374844	256
256	51	9.373594	256
256	51	9.378281	256
256	51	9.391562	256
256	51	9.361562	256
256	51	9.383906	256
256	51	9.394531	256
256	51	9.362656	256
256	51	9.410937	256
256	51	9.425000	256
256	51	9.427344	256
256	51	9.427812	256
256	51	18.015156	256
256	51	9.412187	256
256	51	9.380313	256
256	51	9.368281	256
256	51	9.394844	256
256	51	9.427500	256
256	51	9.386719	256
256	51	12.813125	256
256	51	9.873750	256
256	51	10.976250	256
256	51	9.449063	256
256	51	9.266094	256
256	51	9.362500	256
256	51	9.386406	256
256	51	14.445469	256
256	51	9.364844	256
256	51	9.374375	256
256	51	9.383125	256
256	51	9.371719	256
256	51	9.407500	256
256	51	9.391406	256
256	51	9.395781	256
256	51	9.394531	256
256	51	9.393437	256
256	51	9.405469	256
256	51	9.394844	256
256	51	9.369375	256
256	51	9.370781	256
256	51	9.368438	256
256	51	9.395469	256
256	51	9.395469	256
256	51	9.401250	256
256	51	9.386563	256
256	51	9.358438	256
256	51	9.387969	256
256	51	9.432031	256
256	51	9.399375	256
256	51	9.490469	256
256	51	9.400469	256
256	51	9.491250	256
256	51	9.498906	256
256	51	9.389219	256
256	51	9.377969	256
256	51	9.404687	256
256	51	9.373281	256
256	51	9.408750	256
256	51	9.402188	256
256	51	9.354844	256
256	51	9.401563	256
256	51	9.411406	256
256	51	9.380625	256
256	51	9.368750	256
256	51	9.393437	256
256	51	9.364219	256
256	51	9.357344	256
256	51	9.392188	256
256	51	9.379687	256
256	51	9.634375	256
256	51	9.361406	256
256	51	9.396406	256
256	51	9.374375	256
256	51	9.381406	256
256	51	9.366250	256
256	51	9.385469	256
256	51	9.385156	256
256	51	9.449063	256
256	51	15.128359	256
256	51	9.517031	256
256	51	9.397656	256
256	51	9.583438	256
256	51	15.438828	256
256	51	15.466719	256
256	51	15.160000	256
256	51	21.604102	256
256	51	12.837188	256
256	51	12.729922	256
256	51	12.852891	256
256	51	12.788164	256
256	51	12.797422	256
256	51	12.731523	256
256	51	12.727383	256
256	51	12.787578	256
256	51	9.370313	256
256	51	9.367969	256
256	51	12.303750	256
256	51	12.326172	256
256	93	12.348711	256
256	93	9.794375	256
256	93	12.366328	256
256	93	14.469531	256
256	93	12.343672	256
256	93	12.102656	256
256	93	11.786641	256
256	93	12.007031	256
256	93	9.820156	256
256	93	11.920664	256
256	93	10.524844	256
256	93	12.050234	256
256	93	12.410977	256
256	93	10.329688	256
256	93	11.695156	256
256	93	10.047812	256
256	93	11.583750	256
256	93	10.187969	256
256	93	11.201719	256
256	93	9.803437	256
256	93	9.465781	256
256	93	14.621250	256
256	93	9.578594	256
256	93	9.613750	256
256	93	11.758906	256
256	93	10.828437	256
256	93	9.930781	256
256	93	12.245938	256
256	93	11.692969	256
256	93	10.615781	256
256	93	11.446094	256
256	93	12.616563	256
256	93	10.822031	256
256	93	9.449844	256
256	93	9.482969	256
256	93	9.500937	256
256	93	9.485312	256
256	93	9.479219	256
256	93	9.426094	256
256	93	9.435000	256
256	93	10.369687	256
256	93	9.466406	256
256	93	9.437812	256
256	93	9.484375	256
256	93	9.827813	256
256	93	9.875781	256
256	93	9.464688	256
256	93	9.451406	256
256	93	9.483281	256
256	93	9.448750	256
256	93	9.476562	256
256	93	9.445625	256
256	93	9.482031	256
256	93	9.436406	256
256	93	9.496250	256
256	93	12.823281	256
256	93	14.703281	256
256	93	9.823594	256
256	93	9.539062	256
256	93	9.485000	256
256	93	9.447656	256
256	93	9.792656	256
256	93	9.476875	256
256	93	9.461250	256
256	93	9.444531	256
256	93	9.476875	256
256	93	9.437812	256
256	93	9.461562	256
256	93	9.529687	256
256	93	9.499375	256
256	93	9.489375	256
256	93	9.463594	256
256	93	9.515781	256
256	93	9.458125	256
256	93	9.481250	256
256	93	9.410781	256
256	93	9.578281	256
256	93	9.482656	256
256	93	9.414375	256
256	93	9.495313	256
256	93	9.464219	256
256	93	9.499375	256
256	93	9.567813	256
256	93	11.115625	256
256	93	9.548750	256
256	93	9.547500	256
256	93	9.451250	256
256	93	9.567656	256
256	93	9.410156	256
256	93	9.509219	256
256	93	9.461719	256
256	93	9.463437	256
256	93	9.475000	256
256	93	9.435625	256
256	93	9.450000	256
256	93	9.493438	256
256	93	9.447188	256
256	93	9.435469	256
256	93	9.443750	256
256	93	9.469844	256
768	1	9.098171	6144
768	1	9.171647	6144
768	1	9.119479	6144
768	1	9.097585	6144
768	1	9.300996	6144
768	1	9.214323	6144
768	1	9.104414	6144
768	1	9.165846	6144
768	1	9.170143	6144
768	1	9.093594	6144
768	1	9.136615	6144
768	1	9.092298	6144
768	1	9.087103	6144
768	1	9.143092	6144
768	1	9.266087	6144
768	1	9.096895	6144
768	1	9.238353	6144
768	1	9.339609	6144
768	1	9.276289	6144
768	1	9.149401	6144
768	1	9.270501	6144
768	1	9.266673	6144
768	1	9.156230	6144
768	1	9.258828	6144
768	1	9.265326	6144
768	1	9.326602	6144
768	1	9.264805	6144
768	1	9.093138	6144
768	1	9.571309	6144
768	1	9.376087	6144
768	1	9.163613	6144
768	1	9.352109	6144
768	1	9.339993	6144
768	1	9.274701	6144
768	1	9.211250	6144
768	1	9.265703	6144
768	1	9.266348	6144
768	1	9.325814	6144
768	1	9.274616	6144
768	1	9.324206	6144
768	1	9.409368	6144
768	1	9.334753	6144
768	1	9.275951	6144
768	1	9.097331	6144
768	1	9.188574	6144
768	1	9.267585	6144
768	1	9.323255	6144
768	1	9.373926	6144
768	1	9.275937	6144
768	1	9.180924	6144
768	1	9.090137	6144
768	1	9.791595	6144
768	1	9.219954	6144
768	1	9.308040	6144
768	1	9.263483	6144
768	1	9.214245	6144
768	1	9.378822	6144
768	1	9.256198	6144
768	1	9.086862	6144
768	1	9.288184	6144
768	1	9.267188	6144
768	1	9.088047	6144
768	1	9.393809	6144
768	1	9.531191	6144
768	1	9.280677	6144
768	1	9.318437	6144
768	1	9.322767	6144
768	1	9.273457	6144
768	1	9.227520	6144
768	1	9.266849	6144
768	1	9.347656	6144
768	1	9.259648	6144
768	1	9.263490	6144
768	1	9.265540	6144
768	1	9.979460	6144
768	1	9.235469	6144
768	1	9.279538	6144
768	1	9.226152	6144
768	1	9.393177	6144
768	1	9.270202	6144
768	1	9.332591	6144
768	1	9.308483	6144
768	1	9.266022	6144
768	1	9.195091	6144
768	1	9.267630	6144
768	1	9.274167	6144
768	1	9.219245	6144
768	1	9.624844	6144
768	1	9.128971	6144
768	1	9.094238	6144
768	1	9.314004	6144
768	1	9.263275	6144
768	1	9.086530	6144
768	1	9.282233	6144
768	1	9.272630	6144
768	1	9.214199	6144
768	1	9.169284	6144
768	1	9.255124	6144
768	1	13.702848	6144
768	1	9.271699	6144
768	5	9.234430	1228
768	5	9.677199	1228
768	5	9.434430	1228
768	5	9.427785	1228
768	5	9.419055	1228
768	5	9.425765	1228
768	5	9.468860	1228
768	5	9.426450	1228
768	5	9.228339	1228
768	5	9.254691	1228
768	5	9.269283	1228
768	5	9.557850	1228
768	5	9.239251	1228
768	5	9.246938	1228
768	5	9.227166	1228
768	5	9.223583	1228
768	5	9.238502	1228
768	5	9.243648	1228
768	5	9.222248	1228
768	5	9.226873	1228
768	5	10.503616	1228
768	5	9.269055	1228
768	5	9.276254	1228
768	5	9.328664	1228
768	5	9.433322	1228
768	5	9.248469	1228
768	5	9.244756	1228
768	5	9.427948	1228
768	5	9.428762	1228
768	5	9.427687	1228
768	5	9.427492	1228
768	5	9.425244	1228
768	5	9.232150	1228
768	5	9.250228	1228
768	5	9.423355	1228
768	5	9.240977	1228
768	5	10.017622	1228
768	5	9.433583	1228
768	5	9.250782	1228
768	5	9.236840	1228
768	5	9.435407	1228
768	5	9.237296	1228
768	5	9.247752	1228
768	5	9.246450	1228
768	5	9.235537	1228
768	5	9.882248	1228
768	5	9.661042	1228
768	5	9.251531	1228
768	5	9.279479	1228
768	5	9.243062	1228
768	5	9.218306	1228
768	5	9.228469	1228
768	5	9.233225	1228
768	5	9.232964	1228
768	5	9.243257	1228
768	5	9.235147	1228
768	5	9.239511	1228
768	5	9.246906	1228
768	5	9.518176	1228
768	5	9.358762	1228
768	5	9.649511	1228
768	5	9.230619	1228
768	5	9.241857	1228
768	5	9.346906	1228
768	5	9.225700	1228
768	5	9.664821	1228
768	5	9.237199	1228
768	5	9.222801	1228
768	5	9.235896	1228
768	5	9.228762	1228
768	5	9.221922	1228
768	5	10.047231	1228
768	5	9.346645	1228
768	5	9.246678	1228
768	5	9.319902	1228
768	5	9.249479	1228
768	5	9.606971	1228
768	5	9.232866	1228
768	5	9.242573	1228
768	5	9.228567	1228
768	5	9.233616	1228
768	5	9.231401	1228
768	5	9.238078	1228
768	5	9.229609	1228
768	5	9.747883	1228
768	5	9.243453	1228
768	5	9.236124	1228
768	5	9.229446	1228
768	5	9.225049	1228
768	5	9.241042	1228
768	5	9.240326	1228
768	5	9.512997	1228
768	5	9.240717	1228
768	5	9.242248	1228
768	5	9.223550	1228
768	5	9.235309	1228
768	5	9.877101	1228
768	5	9.602052	1228
768	5	9.251107	1228
768	5	9.299967	1228
768	12	10.215677	768
768	12	9.880781	768
768	12	9.468802	768
768	12	10.048750	768
768	12	9.435104	768
768	12	9.478958	768
768	12	9.461458	768
768	12	9.460469	768
768	12	9.460885	768
768	12	9.454219	768
768	12	9.507865	768
768	12	9.454062	768
768	12	9.469115	768
768	12	9.490990	768
768	12	9.946250	768
768	12	10.114010	768
768	12	9.437188	768
768	12	9.442760	768
768	12	9.608698	768
768	12	9.459323	768
768	12	9.938021	768
768	12	9.469375	768
768	12	9.459167	768
768	12	12.510469	768
768	12	9.526354	768
768	12	9.875104	768
768	12	9.900313	768
768	12	9.467448	768
768	12	9.480521	768
768	12	9.454583	768
768	12	9.458698	768
768	12	9.667604	768
768	12	9.430938	768
768	12	9.454740	768
768	12	9.459219	768
768	12	9.464531	768
768	12	9.462240	768
768	12	9.469323	768
768	12	9.457448	768
768	12	9.469792	768
768	12	9.462083	768
768	12	9.817083	768
768	12	9.454219	768
768	12	9.473906	768
768	12	9.457187	768
768	12	9.444323	768
768	12	9.607188	768
768	12	9.544010	768
768	12	9.484740	768
768	12	9.935990	768
768	12	10.370052	768
768	12	11.066302	768
768	12	10.987187	768
768	12	9.523958	768
768	12	9.453906	768
768	12	9.478438	768
768	12	9.506094	768
768	12	9.463594	768
768	12	9.458021	768
