L	D	resultado	R
256	1	19.570684	2048
256	1	19.569146	2048
256	1	19.312314	2048
256	1	19.299722	2048
256	1	19.162261	2048
256	5	9.277262	409
256	5	14.603350	409
256	5	12.656259	409
256	5	12.532738	409
256	5	15.636968	409
256	10	11.861094	256
256	10	9.683906	256
256	10	9.610469	256
256	10	9.661719	256
256	10	9.689531	256
256	17	9.658281	256
256	17	9.655938	256
256	17	9.663125	256
256	17	9.645469	256
256	17	12.572969	256
256	23	9.578594	256
256	23	9.586875	256
256	23	9.656719	256
256	23	9.696406	256
256	23	10.180938	256
256	39	9.745625	256
256	39	9.572812	256
256	39	9.559219	256
256	39	9.742500	256
256	39	9.586250	256
256	51	9.695625	256
256	51	9.568906	256
256	51	9.707812	256
256	51	9.740937	256
256	51	10.580312	256
256	76	13.332656	256
256	76	9.401875	256
256	76	9.697656	256
256	76	9.698438	256
256	76	9.813437	256
256	93	9.696875	256
256	93	9.506875	256
256	93	9.480625	256
256	93	9.445781	256
256	93	9.393750	256
256	98	10.459531	256
256	98	9.423594	256
256	98	9.471406	256
256	98	9.380156	256
256	98	9.421563	256
768	1	9.110195	6144
768	1	9.139792	6144
768	1	9.400215	6144
768	1	9.088359	6144
768	1	9.169674	6144
768	5	10.896450	1228
768	5	9.960586	1228
768	5	9.258795	1228
768	5	11.143681	1228
768	5	9.565700	1228
768	10	9.388542	768
768	10	9.451875	768
768	10	9.411667	768
768	10	9.402083	768
768	10	9.506615	768
768	17	9.640937	768
768	17	9.621042	768
768	17	9.616354	768
768	17	9.614635	768
768	17	9.705052	768
768	23	9.424531	768
768	23	9.405208	768
768	23	9.938906	768
768	23	9.884323	768
768	23	9.850833	768
768	39	10.077240	768
768	39	9.916510	768
768	39	9.632083	768
768	39	10.313594	768
768	39	9.747604	768
768	51	9.764844	768
768	51	9.781510	768
768	51	9.854635	768
768	51	9.591458	768
768	51	9.507760	768
768	76	9.626042	768
768	76	9.608438	768
768	76	9.641250	768
768	76	9.674219	768
768	76	9.588229	768
768	93	9.757708	768
768	93	9.723490	768
768	93	9.606979	768
768	93	9.604896	768
768	93	9.644167	768
768	98	10.213906	768
768	98	9.670469	768
768	98	9.860625	768
768	98	10.207500	768
768	98	9.705469	768
2048	1	9.168855	16384
2048	1	9.110073	16384
2048	1	9.097827	16384
2048	1	9.234375	16384
2048	1	9.847000	16384
2048	5	9.402650	3276
2048	5	9.492894	3276
2048	5	9.413773	3276
2048	5	9.600769	3276
2048	5	13.796227	3276
2048	10	15.337480	2048
2048	10	15.349766	2048
2048	10	9.531797	2048
2048	10	11.484063	2048
2048	10	9.716445	2048
2048	17	10.491758	2048
2048	17	10.312578	2048
2048	17	11.702051	2048
2048	17	11.001758	2048
2048	17	10.712539	2048
2048	23	11.152246	2048
2048	23	11.036211	2048
2048	23	11.585195	2048
2048	23	11.554063	2048
2048	23	11.085527	2048
2048	39	10.379160	2048
2048	39	10.418691	2048
2048	39	10.937207	2048
2048	39	11.413516	2048
2048	39	11.025957	2048
2048	51	9.869258	2048
2048	51	10.303145	2048
2048	51	10.158848	2048
2048	51	10.213437	2048
2048	51	10.498867	2048
2048	76	10.003652	2048
2048	76	10.114492	2048
2048	76	10.103027	2048
2048	76	10.208906	2048
2048	76	10.281172	2048
2048	93	10.178945	2048
2048	93	10.590059	2048
2048	93	10.868398	2048
2048	93	9.980137	2048
2048	93	9.954141	2048
2048	98	10.232715	2048
2048	98	11.538125	2048
2048	98	10.393359	2048
2048	98	10.062969	2048
2048	98	10.253027	2048
3072	1	9.150685	24576
3072	1	9.284468	24576
3072	1	9.249207	24576
3072	1	9.234373	24576
3072	1	9.229593	24576
3072	5	9.485209	4915
3072	5	9.444509	4915
3072	5	9.394832	4915
3072	5	9.549331	4915
3072	5	9.671520	4915
3072	10	9.864935	3072
3072	10	9.881536	3072
3072	10	9.912240	3072
3072	10	9.614635	3072
3072	10	9.866536	3072
3072	17	11.206172	3072
3072	17	11.616797	3072
3072	17	11.136185	3072
3072	17	10.869023	3072
3072	17	11.308216	3072
3072	23	12.013685	3072
3072	23	12.192539	3072
3072	23	12.310469	3072
3072	23	12.017695	3072
3072	23	12.005430	3072
3072	39	12.045430	3072
3072	39	11.561536	3072
3072	39	12.069779	3072
3072	39	11.993438	3072
3072	39	12.267643	3072
3072	51	13.632318	3072
3072	51	10.865195	3072
3072	51	10.540326	3072
3072	51	11.009401	3072
3072	51	10.952708	3072
3072	76	10.522695	3072
3072	76	10.604805	3072
3072	76	12.277513	3072
3072	76	13.215247	3072
3072	76	10.571263	3072
3072	93	11.248607	3072
3072	93	11.261211	3072
3072	93	11.479688	3072
3072	93	12.636706	3072
3072	93	19.646510	3072
3072	98	11.447161	3072
3072	98	11.543151	3072
3072	98	11.922591	3072
3072	98	12.575352	3072
3072	98	13.985534	3072
4096	1	9.140540	32768
4096	1	9.153881	32768
4096	1	9.409984	32768
4096	1	9.130240	32768
4096	1	9.097769	32768
4096	5	9.853783	6553
4096	5	9.328747	6553
4096	5	9.571793	6553
4096	5	9.411201	6553
4096	5	9.177555	6553
4096	10	10.079014	4096
4096	10	10.265166	4096
4096	10	10.195332	4096
4096	10	10.256826	4096
4096	10	10.109521	4096
4096	17	11.099727	4096
4096	17	14.708613	4096
4096	17	11.257002	4096
4096	17	11.366123	4096
4096	17	11.720029	4096
4096	23	11.964648	4096
4096	23	12.132139	4096
4096	23	11.824336	4096
4096	23	11.911094	4096
4096	23	12.047139	4096
4096	39	12.771445	4096
4096	39	12.280498	4096
4096	39	12.039746	4096
4096	39	12.020322	4096
4096	39	12.054453	4096
4096	51	11.607578	4096
4096	51	11.398955	4096
4096	51	11.652598	4096
4096	51	11.279697	4096
4096	51	11.854561	4096
4096	76	12.481494	4096
4096	76	12.327764	4096
4096	76	12.565068	4096
4096	76	13.033301	4096
4096	76	12.566094	4096
4096	93	12.828213	4096
4096	93	12.422412	4096
4096	93	13.327832	4096
4096	93	12.889922	4096
4096	93	12.736211	4096
4096	98	18.781753	4096
4096	98	13.208955	4096
4096	98	12.642842	4096
4096	98	12.895713	4096
