L	D	resultado	R
256	1	9.236621	2048
256	1	9.232988	2048
256	1	9.227246	2048
256	1	9.245215	2048
256	1	9.412012	2048
256	5	11.639609	409
256	5	9.255941	409
256	5	9.303570	409
256	5	9.245672	409
256	5	10.338973	409
256	10	9.357656	256
256	10	9.397187	256
256	10	9.343125	256
256	10	9.331094	256
256	10	9.416562	256
256	17	9.380781	256
256	17	9.379375	256
256	17	9.398906	256
256	17	9.367031	256
256	17	9.369375	256
256	23	13.490156	256
256	23	9.412344	256
256	23	9.377500	256
256	23	9.415625	256
256	23	13.604688	256
256	39	9.411406	256
256	39	12.260000	256
256	39	9.437656	256
256	39	9.386406	256
256	39	9.407969	256
256	51	9.394531	256
256	51	9.368906	256
256	51	9.477344	256
256	51	9.367656	256
256	51	9.362344	256
256	76	9.460469	256
256	76	9.406719	256
256	76	9.392188	256
256	76	9.441094	256
256	76	9.402031	256
256	93	9.441875	256
256	93	9.495469	256
256	93	9.431406	256
256	93	9.463750	256
256	93	9.450156	256
256	98	9.409219	256
256	98	9.438594	256
256	98	9.392969	256
256	98	9.380469	256
256	98	9.403438	256
768	1	9.103125	6144
768	1	9.160905	6144
768	1	9.169258	6144
768	1	9.173158	6144
768	1	9.087025	6144
768	5	9.231433	1228
768	5	9.239023	1228
768	5	9.233062	1228
768	5	9.223550	1228
768	5	9.236678	1228
768	10	9.410052	768
768	10	9.427448	768
768	10	9.557344	768
768	10	9.394271	768
768	10	9.394010	768
768	17	9.605729	768
768	17	9.619010	768
768	17	9.628281	768
768	17	10.008958	768
768	17	9.634948	768
768	23	9.409844	768
768	23	59.427969	768
768	23	14.871458	768
768	23	15.915000	768
768	23	15.828073	768
768	39	15.569427	768
768	39	9.460990	768
768	39	15.074271	768
768	39	15.215729	768
768	39	9.475312	768
768	51	15.636927	768
768	51	17.594010	768
768	51	15.649219	768
768	51	9.948542	768
768	51	9.759063	768
768	76	10.038438	768
768	76	10.053594	768
768	76	11.253438	768
768	76	15.206719	768
768	76	11.745000	768
768	93	10.044271	768
768	93	10.780104	768
768	93	9.909167	768
768	93	10.179792	768
768	93	10.240417	768
768	98	11.598750	768
768	98	9.928542	768
768	98	9.654740	768
768	98	10.075781	768
