L	D	resultado	clockRate
256	1	11.790064	3392.5
256	2	19.276745	3392.5
256	10	19.705493	3392.5
256	50	21.729974	3392.5
256	90	19.610484	3392.5
768	1	19.189692	3392.5
768	2	19.258697	3392.5
768	10	19.861471	3392.5
768	50	20.016129	3392.5
768	90	20.837986	3392.5
2048	1	18.135260	3392.5
2048	2	19.217705	3392.5
2048	10	19.767885	3392.5
2048	50	19.667676	3392.5
2048	90	19.829700	3392.5
3072	1	18.084004	3392.5
3072	2	19.234817	3392.5
3072	10	20.212529	3392.5
3072	50	19.902606	3392.5
3072	90	19.679994	3392.5
8192	1	16.486714	3392.5
8192	2	17.125159	3392.5
8192	10	21.538569	3392.5
8192	50	20.405404	3392.5
8192	90	20.292210	3392.5
16384	1	14.655206	3392.5
16384	2	16.221145	3392.5
16384	10	21.485790	3392.5
16384	50	21.202894	3392.5
16384	90	20.346587	3392.5
32768	1	12.076629	3392.5
32768	2	14.887497	3392.5
32768	10	20.233648	3392.5
32768	50	24.774725	3392.5
32768	90	24.001600	3392.5
