L	D	resultado	clockRate
256	1	9.076297	3392.4
256	2	15.516097	3392.4
256	10	19.640777	3392.4
256	50	21.619048	3392.4
256	90	19.833333	3392.4
768	1	17.063900	3392.4
768	2	18.083523	3392.4
768	10	19.777050	3392.4
768	50	19.940859	3392.4
768	90	20.647615	3392.4
2048	1	13.948286	3392.4
2048	2	16.172220	3392.4
2048	10	17.750609	3392.4
2048	50	17.382979	3392.4
2048	90	19.757236	3392.4
3072	1	12.288833	3392.4
3072	2	14.674750	3392.4
3072	10	18.897646	3392.4
3072	50	19.878283	3392.4
3072	90	18.453328	3392.4
8192	1	9.036727	3392.4
8192	2	11.409329	3392.4
8192	10	18.203554	3392.4
8192	50	19.117857	3392.4
8192	90	20.217343	3392.5
16384	1	9.041302	3392.4
16384	2	9.065312	3392.4
16384	10	15.698730	3392.5
16384	50	20.362427	3392.5
16384	90	19.136687	3392.4
32768	1	9.214479	3392.5
32768	2	9.156351	3392.4
32768	10	13.831158	3392.4
32768	50	20.876747	3392.4
32768	90	20.777266	3392.4
