L	D	resultado	R
256	1	14.073477	2048
256	1	10.472344	2048
256	1	14.181592	2048
256	1	10.454980	2048
256	1	10.511680	2048
256	1	12.245771	2048
256	1	11.880684	2048
256	1	9.612090	2048
256	1	13.031992	2048
256	1	13.285068	2048
256	1	15.338086	2048
256	1	14.134746	2048
256	1	13.928418	2048
256	1	14.509961	2048
256	1	9.488848	2048
256	1	9.512617	2048
256	1	9.395840	2048
256	1	9.516914	2048
256	1	9.514238	2048
256	1	9.401816	2048
256	1	9.522422	2048
256	1	9.398105	2048
256	1	9.523848	2048
256	1	9.394883	2048
256	1	9.757734	2048
256	1	9.388770	2048
256	1	12.666152	2048
256	1	13.404355	2048
256	1	9.668926	2048
256	1	9.105195	2048
256	1	9.103848	2048
256	1	9.121055	2048
256	1	9.541562	2048
256	1	9.213223	2048
256	1	9.098242	2048
256	1	9.636309	2048
256	1	9.453770	2048
256	1	10.104727	2048
256	1	9.092090	2048
256	1	9.113828	2048
256	1	9.263027	2048
256	1	9.230566	2048
256	1	9.241895	2048
256	1	9.300937	2048
256	1	9.095156	2048
256	1	9.112187	2048
256	1	9.116953	2048
256	1	9.240703	2048
256	1	9.098203	2048
256	1	9.107070	2048
256	1	13.472578	2048
256	1	9.562441	2048
256	1	9.172461	2048
256	1	9.647090	2048
256	1	9.104277	2048
256	1	9.099883	2048
256	1	9.292988	2048
256	1	9.234492	2048
256	1	9.241992	2048
256	1	9.331465	2048
256	1	9.225664	2048
256	1	9.105273	2048
256	1	9.792852	2048
256	1	9.227520	2048
256	1	12.059141	2048
256	1	9.116367	2048
256	1	9.242109	2048
256	1	9.317012	2048
256	1	9.108008	2048
256	1	9.231250	2048
256	1	9.139980	2048
256	1	9.139805	2048
256	1	9.855586	2048
256	1	9.705742	2048
256	1	10.127930	2048
256	1	9.307578	2048
256	1	9.111641	2048
256	1	9.091211	2048
256	1	9.268242	2048
256	1	9.109082	2048
256	1	9.108242	2048
256	1	9.232051	2048
256	1	9.105684	2048
256	1	9.102637	2048
256	1	9.245313	2048
256	1	9.108887	2048
256	1	9.100820	2048
256	1	9.387266	2048
256	1	9.105156	2048
256	1	9.100645	2048
256	1	9.236855	2048
256	1	9.104727	2048
256	1	9.090801	2048
256	1	9.670176	2048
256	1	9.161230	2048
256	1	9.197754	2048
256	1	9.767871	2048
256	1	9.290527	2048
256	1	9.096270	2048
256	1	9.102949	2048
256	5	9.244401	409
256	5	9.286553	409
256	5	9.266015	409
256	5	9.247628	409
256	5	9.257995	409
256	5	9.238044	409
256	5	9.215452	409
256	5	9.255648	409
256	5	9.214572	409
256	5	9.250954	409
256	5	9.262298	409
256	5	9.218093	409
256	5	9.240880	409
256	5	9.580244	409
256	5	9.262103	409
256	5	9.279413	409
256	5	9.267677	409
256	5	9.244988	409
256	5	9.250171	409
256	5	9.262005	409
256	5	9.262005	409
256	5	9.252225	409
256	5	9.247335	409
256	5	9.265428	409
256	5	9.235892	409
256	5	13.060538	409
256	5	9.838044	409
256	5	12.884597	409
256	5	9.860244	409
256	5	9.251247	409
256	5	9.220049	409
256	5	9.262689	409
256	5	9.243032	409
256	5	9.261614	409
256	5	9.244499	409
256	5	9.263178	409
256	5	9.242641	409
256	5	10.527824	409
256	5	9.763032	409
256	5	19.188851	409
256	5	9.351491	409
256	5	10.214670	409
256	5	9.235208	409
256	5	9.233741	409
256	5	9.245183	409
256	5	9.228264	409
256	5	9.244890	409
256	5	9.243619	409
256	5	9.242934	409
256	5	23.076870	409
256	5	9.265526	409
256	5	9.235501	409
256	5	9.252029	409
256	5	9.248117	409
256	5	9.239609	409
256	5	11.488998	409
256	5	9.225428	409
256	5	9.242249	409
256	5	9.239609	409
256	5	9.262983	409
256	5	9.259951	409
256	5	9.238924	409
256	5	9.281956	409
256	5	10.370758	409
256	5	9.229438	409
256	5	9.222396	409
256	5	9.231002	409
256	5	9.240880	409
256	5	9.265037	409
256	5	9.233839	409
256	5	9.221614	409
256	5	9.249682	409
256	5	9.234817	409
256	5	9.260049	409
256	5	9.250562	409
256	5	9.240880	409
256	5	9.244303	409
256	5	9.246650	409
256	5	9.247726	409
256	5	9.281076	409
256	5	9.257115	409
256	5	9.242738	409
256	5	9.442152	409
256	5	9.221418	409
256	5	15.439609	409
256	5	9.264743	409
256	5	9.242152	409
256	5	13.466504	409
256	5	9.229046	409
256	5	9.244988	409
256	5	9.248020	409
256	5	9.262298	409
256	5	9.239707	409
256	5	9.225232	409
256	5	9.240685	409
256	5	9.248704	409
256	5	9.236186	409
256	5	9.255257	409
256	5	9.270024	409
256	5	9.293399	409
256	12	9.390625	256
256	12	9.356875	256
256	12	9.398750	256
256	12	9.927500	256
256	12	9.379844	256
256	12	9.407969	256
256	12	9.385156	256
256	12	9.385312	256
256	12	9.386250	256
256	12	9.385312	256
256	12	9.391875	256
256	12	9.369687	256
256	12	9.349219	256
256	12	9.379062	256
256	12	9.411094	256
256	12	9.396250	256
256	12	9.421875	256
256	12	9.375312	256
256	12	13.117031	256
256	12	9.374063	256
256	12	9.444219	256
256	12	9.369687	256
256	12	15.371562	256
256	12	9.395781	256
256	12	9.417344	256
256	12	9.390156	256
256	12	9.397344	256
256	12	9.395156	256
256	12	9.385625	256
256	12	9.358906	256
256	12	9.391406	256
256	12	9.444688	256
256	12	9.406562	256
256	12	9.376094	256
256	12	9.351562	256
256	12	10.223594	256
256	12	9.370156	256
256	12	9.374531	256
256	12	9.363281	256
256	12	9.372969	256
256	12	9.402188	256
256	12	15.692031	256
256	12	9.257969	256
256	12	9.430000	256
256	12	9.385625	256
256	12	9.500937	256
256	12	9.375156	256
256	12	9.654219	256
256	12	9.371875	256
256	12	9.341250	256
256	12	9.467187	256
256	12	9.623906	256
256	12	9.503125	256
256	12	10.242031	256
256	12	9.396562	256
256	12	9.409375	256
256	12	9.371875	256
256	12	9.402812	256
256	12	9.363750	256
256	12	9.396875	256
256	12	9.346719	256
256	12	9.360312	256
256	12	9.340625	256
256	12	9.365000	256
256	12	9.388906	256
256	12	9.403594	256
256	12	9.389844	256
256	12	9.392656	256
256	12	9.348906	256
256	12	9.392344	256
256	12	9.380313	256
256	12	9.354375	256
256	12	9.349844	256
256	12	9.367188	256
256	12	9.352344	256
256	12	9.372344	256
256	12	9.392344	256
256	12	9.377187	256
256	12	9.366719	256
256	12	9.372500	256
256	12	9.379687	256
256	12	10.677500	256
256	12	9.429219	256
256	12	9.370469	256
256	12	9.362813	256
256	12	9.360938	256
256	12	9.378750	256
256	12	9.395156	256
256	12	9.410625	256
256	12	9.379844	256
256	12	9.415156	256
256	12	9.402500	256
256	12	9.381562	256
256	12	16.824844	256
256	12	9.372188	256
256	12	9.370938	256
256	12	9.381875	256
256	12	9.352813	256
256	12	9.362031	256
256	12	9.400000	256
256	51	9.424062	256
256	51	9.395312	256
256	51	9.400313	256
256	51	9.361562	256
256	51	9.421250	256
256	51	9.428125	256
256	51	9.415938	256
256	51	9.388750	256
256	51	9.380313	256
256	51	9.391250	256
256	51	9.408437	256
256	51	9.378906	256
256	51	9.387813	256
256	51	9.425781	256
256	51	9.397187	256
256	51	11.257500	256
256	51	9.424531	256
256	51	9.355469	256
256	51	9.372656	256
256	51	9.488125	256
256	51	9.585938	256
256	51	9.384531	256
256	51	9.455000	256
256	51	9.407500	256
256	51	9.446875	256
256	51	9.409062	256
256	51	9.378906	256
256	51	9.396250	256
256	51	9.363906	256
256	51	9.358281	256
256	51	9.433125	256
256	51	9.342656	256
256	51	9.416562	256
256	51	9.416875	256
256	51	9.364531	256
256	51	9.354844	256
256	51	9.371094	256
256	51	9.374219	256
256	51	9.386094	256
256	51	9.379219	256
256	51	9.368750	256
256	51	9.383281	256
256	51	9.357656	256
256	51	9.361719	256
256	51	9.390469	256
256	51	9.397031	256
256	51	9.363125	256
256	51	9.413438	256
256	51	9.433438	256
256	51	11.102031	256
256	51	9.385000	256
256	51	9.584687	256
256	51	18.290156	256
256	51	9.383437	256
256	51	9.383125	256
256	51	9.415313	256
256	51	9.606563	256
256	51	9.325938	256
256	51	9.383906	256
256	51	9.379531	256
256	51	9.374375	256
256	51	9.472969	256
256	51	9.377500	256
256	51	9.379531	256
256	51	9.357500	256
256	51	9.376094	256
256	51	9.427656	256
256	51	9.428281	256
256	51	9.366094	256
256	51	9.445937	256
256	51	9.417656	256
256	51	9.433125	256
256	51	9.417344	256
256	51	9.374531	256
256	51	9.407656	256
256	51	9.348750	256
256	51	9.404063	256
256	51	9.408594	256
256	51	9.384844	256
256	51	9.365000	256
256	51	9.462031	256
256	51	9.417656	256
256	51	9.622813	256
256	51	9.409531	256
256	51	9.401406	256
256	51	9.337500	256
256	51	9.388281	256
256	51	9.370156	256
256	51	9.412656	256
256	51	9.387031	256
256	51	9.410156	256
256	51	9.383750	256
256	51	9.412344	256
256	51	9.399531	256
256	51	9.373750	256
256	51	9.394219	256
256	51	9.426875	256
256	51	9.407969	256
256	51	9.347031	256
256	51	9.962031	256
256	93	9.511875	256
256	93	9.538438	256
256	93	9.518281	256
256	93	9.421094	256
256	93	9.501719	256
256	93	9.566406	256
256	93	9.450625	256
256	93	9.379219	256
256	93	9.472188	256
256	93	11.015781	256
256	93	9.650000	256
256	93	9.526719	256
256	93	9.539375	256
256	93	9.427188	256
256	93	9.480781	256
256	93	9.465781	256
256	93	9.466875	256
256	93	9.464219	256
256	93	9.435625	256
256	93	9.486875	256
256	93	9.424687	256
256	93	9.439687	256
256	93	9.435781	256
256	93	9.449844	256
256	93	9.388906	256
256	93	9.462656	256
256	93	9.507344	256
256	93	9.493594	256
256	93	9.425625	256
256	93	9.504375	256
256	93	9.473906	256
256	93	9.413906	256
256	93	9.505469	256
256	93	9.413906	256
256	93	9.422031	256
256	93	9.480625	256
256	93	13.540469	256
256	93	10.202813	256
256	93	9.534688	256
256	93	9.664219	256
256	93	9.477969	256
256	93	9.450625	256
256	93	9.478750	256
256	93	9.479062	256
256	93	9.435000	256
256	93	9.443437	256
256	93	9.503125	256
256	93	9.490000	256
256	93	9.511719	256
256	93	12.650625	256
256	93	9.495938	256
256	93	9.438594	256
256	93	9.416562	256
256	93	9.445625	256
256	93	9.463906	256
256	93	9.489688	256
256	93	9.531875	256
256	93	9.466094	256
256	93	9.432031	256
256	93	9.519531	256
256	93	13.167188	256
256	93	9.760000	256
256	93	9.447188	256
256	93	10.036563	256
256	93	9.584219	256
256	93	9.518906	256
256	93	9.678437	256
256	93	9.494063	256
256	93	9.922969	256
256	93	9.762344	256
256	93	9.641094	256
256	93	9.491563	256
256	93	9.430156	256
256	93	9.511875	256
256	93	9.441875	256
256	93	9.500781	256
256	93	9.419375	256
256	93	9.457031	256
256	93	9.409531	256
256	93	9.443281	256
256	93	10.849375	256
256	93	9.481250	256
256	93	9.463281	256
256	93	9.512344	256
256	93	9.450000	256
256	93	9.468125	256
256	93	9.559062	256
256	93	9.453125	256
256	93	9.406250	256
256	93	9.461562	256
256	93	13.793281	256
256	93	9.588437	256
256	93	9.474375	256
256	93	9.521719	256
256	93	10.442813	256
256	93	9.691250	256
256	93	12.543906	256
256	93	9.494219	256
256	93	9.441406	256
256	93	9.409062	256
768	1	9.091165	6144
768	1	9.269049	6144
768	1	9.092669	6144
768	1	9.195827	6144
768	1	9.093372	6144
768	1	9.088613	6144
768	1	9.204948	6144
768	1	9.960013	6144
768	1	9.233203	6144
768	1	9.145163	6144
768	1	9.192083	6144
768	1	9.282161	6144
768	1	9.093867	6144
768	1	9.325033	6144
768	1	9.265449	6144
768	1	9.085234	6144
768	1	9.164277	6144
768	1	9.274264	6144
768	1	9.357611	6144
768	1	10.923353	6144
768	1	9.218145	6144
768	1	9.276055	6144
768	1	9.153893	6144
768	1	9.259115	6144
768	1	9.262507	6144
768	1	9.194635	6144
768	1	9.363203	6144
768	1	9.092025	6144
768	1	9.367682	6144
768	1	9.268333	6144
768	1	9.715801	6144
768	1	10.850749	6144
768	1	9.154707	6144
768	1	9.086908	6144
768	1	9.256647	6144
768	1	9.316895	6144
768	1	9.269974	6144
768	1	9.174473	6144
768	1	9.283548	6144
768	1	9.257500	6144
768	1	9.271686	6144
768	1	9.264967	6144
768	1	9.548346	6144
768	1	9.205527	6144
768	1	9.312663	6144
768	1	9.390423	6144
768	1	9.261107	6144
768	1	9.243665	6144
768	1	9.292513	6144
768	1	9.098477	6144
768	1	9.257656	6144
768	1	9.277194	6144
768	1	9.098490	6144
768	1	10.642695	6144
768	1	9.462487	6144
768	1	9.251387	6144
768	1	9.150143	6144
768	1	9.362031	6144
768	1	9.274870	6144
768	1	9.164062	6144
768	1	9.374323	6144
768	1	9.260990	6144
768	1	9.210065	6144
768	1	9.271276	6144
768	1	9.263841	6144
768	1	9.596458	6144
768	1	9.464577	6144
768	1	9.369889	6144
768	1	9.087168	6144
768	1	9.328359	6144
768	1	9.359427	6144
768	1	9.280755	6144
768	1	9.360508	6144
768	1	9.272005	6144
768	1	9.156986	6144
768	1	9.436536	6144
768	1	9.272526	6144
768	1	9.494824	6144
768	1	9.325319	6144
768	1	9.247747	6144
768	1	9.269928	6144
768	1	9.219258	6144
768	1	9.273867	6144
768	1	9.265879	6144
768	1	9.165514	6144
768	1	9.331758	6144
768	1	9.090931	6144
768	1	9.365521	6144
768	1	10.706185	6144
768	1	9.297910	6144
768	1	9.369056	6144
768	1	9.334707	6144
768	1	9.271523	6144
768	1	9.201862	6144
768	1	9.265794	6144
768	1	9.268099	6144
768	1	9.194036	6144
768	1	9.261400	6144
768	1	9.259408	6144
768	1	9.192148	6144
768	5	9.375179	1228
768	5	9.302443	1228
768	5	9.245733	1228
768	5	9.486026	1228
768	5	9.250684	1228
768	5	9.451596	1228
768	5	9.415277	1228
768	5	9.244886	1228
768	5	9.428990	1228
768	5	9.428827	1228
768	5	9.950684	1228
768	5	9.421368	1228
768	5	9.421726	1228
768	5	9.265928	1228
768	5	9.433388	1228
768	5	9.242052	1228
768	5	9.222541	1228
768	5	9.239511	1228
768	5	9.419251	1228
768	5	9.435147	1228
768	5	9.638241	1228
768	5	9.428860	1228
768	5	9.421987	1228
768	5	9.239837	1228
768	5	9.238958	1228
768	5	9.287068	1228
768	5	9.302085	1228
768	5	9.282997	1228
768	5	9.271205	1228
768	5	9.232508	1228
768	5	9.781433	1228
768	5	9.225635	1228
768	5	9.230521	1228
768	5	9.248241	1228
768	5	9.248143	1228
768	5	9.524267	1228
768	5	9.244723	1228
768	5	9.238990	1228
768	5	9.230749	1228
768	5	9.233550	1228
768	5	9.237948	1228
768	5	9.271629	1228
768	5	9.870000	1228
768	5	9.227883	1228
768	5	9.236743	1228
768	5	9.231205	1228
768	5	13.592964	1228
768	5	9.219153	1228
768	5	13.482736	1228
768	5	9.236026	1228
768	5	10.637296	1228
768	5	9.270098	1228
768	5	9.280423	1228
768	5	9.312899	1228
768	5	10.232866	1228
768	5	9.234528	1228
768	5	9.616678	1228
768	5	9.479837	1228
768	5	9.244821	1228
768	5	9.246580	1228
768	5	9.245342	1228
768	5	9.252378	1228
768	5	9.241466	1228
768	5	9.249544	1228
768	5	10.357850	1228
768	5	9.232899	1228
768	5	9.227524	1228
768	5	9.248046	1228
768	5	9.223616	1228
768	5	9.232313	1228
768	5	9.244430	1228
768	5	9.493616	1228
768	5	9.237948	1228
768	5	9.240358	1228
768	5	9.218632	1228
768	5	9.249186	1228
768	5	11.173844	1228
768	5	10.225928	1228
768	5	9.264788	1228
768	5	9.281010	1228
768	5	9.252704	1228
768	5	9.354853	1228
768	5	9.235896	1228
768	5	9.469967	1228
768	5	9.237850	1228
