L	D	resultado	clockRate
256	1	9.037905	3392.4
256	2	12.480960	3392.4
256	10	13.027250	3392.4
256	50	13.205814	3392.4
256	90	9.166667	3392.4
768	1	9.025658	3392.4
768	2	13.241631	3392.4
768	10	9.322510	3392.4
768	50	9.387097	3392.4
768	90	9.752344	3392.4
2048	1	12.351774	3392.5
2048	2	9.050978	3392.4
2048	10	14.443392	3392.4
2048	50	9.199593	3392.4
2048	90	13.686958	3392.4
3072	1	9.033324	3392.4
3072	2	9.047223	3392.5
3072	10	15.176934	3392.4
3072	50	14.577320	3392.4
3072	90	14.447615	3392.4
8192	1	9.039454	3392.4
8192	2	9.051888	3392.4
8192	10	14.987742	3392.5
8192	50	14.103510	3392.4
8192	90	15.799026	3392.4
16384	1	9.056205	3392.5
16384	2	9.058761	3392.4
16384	10	10.093624	3392.4
16384	50	10.038881	3392.4
16384	90	9.545492	3392.5
32768	1	9.231717	3392.5
32768	2	9.256154	3392.5
32768	10	11.600541	3392.5
32768	50	11.605644	3392.5
32768	90	11.092648	3392.4
