L	D	resultado	R
256	1	9.231055	2048
256	1	9.210703	2048
256	1	9.424883	2048
256	1	9.223496	2048
256	1	9.209336	2048
256	1	9.103477	2048
256	1	9.088789	2048
256	1	9.091523	2048
256	1	9.210254	2048
256	1	9.681641	2048
256	1	9.497402	2048
256	1	15.669717	2048
256	1	15.920928	2048
256	1	15.675439	2048
256	1	14.119160	2048
256	1	9.222754	2048
256	1	11.738496	2048
256	1	10.046006	2048
256	1	15.221943	2048
256	1	22.896504	2048
256	1	14.160527	2048
256	1	13.359727	2048
256	1	12.741758	2048
256	1	13.356328	2048
256	1	9.229531	2048
256	1	9.123262	2048
256	1	9.241055	2048
256	1	9.239102	2048
256	1	9.322129	2048
256	1	9.113125	2048
256	1	9.111973	2048
256	1	9.107559	2048
256	1	9.104102	2048
256	1	9.589980	2048
256	1	13.074336	2048
256	1	10.081738	2048
256	1	9.105059	2048
256	1	10.142637	2048
256	1	9.547324	2048
256	1	13.685664	2048
256	1	9.117324	2048
256	1	9.109902	2048
256	1	9.111953	2048
256	1	9.276738	2048
256	1	9.241758	2048
256	1	9.104453	2048
256	1	9.107070	2048
256	1	9.102520	2048
256	1	9.234258	2048
256	1	9.102891	2048
256	1	9.100410	2048
256	1	9.220527	2048
256	1	10.040762	2048
256	1	9.505000	2048
256	1	9.201406	2048
256	1	9.094004	2048
256	1	9.421172	2048
256	1	9.399551	2048
256	1	9.238535	2048
256	1	9.121016	2048
256	1	9.370508	2048
256	1	9.218438	2048
256	1	9.108809	2048
256	1	9.099336	2048
256	1	9.221426	2048
256	1	9.108105	2048
256	1	9.110801	2048
256	1	9.102852	2048
256	1	9.098750	2048
256	1	9.113184	2048
256	1	9.229258	2048
256	1	9.107715	2048
256	1	9.216055	2048
256	1	9.290176	2048
256	1	9.534375	2048
256	1	9.376191	2048
256	1	9.353984	2048
256	1	9.241602	2048
256	1	9.271387	2048
256	1	9.314336	2048
256	1	9.216895	2048
256	1	9.228594	2048
256	1	9.494687	2048
256	1	9.225078	2048
256	1	9.225156	2048
256	1	9.433008	2048
256	1	9.238340	2048
256	1	9.103926	2048
256	1	9.486523	2048
256	1	9.115820	2048
256	1	9.154863	2048
256	1	9.277012	2048
256	1	9.101348	2048
256	1	9.106582	2048
256	1	9.561426	2048
256	1	9.103516	2048
256	1	9.671895	2048
256	1	9.208125	2048
256	1	9.172422	2048
256	1	9.098437	2048
256	5	9.254377	409
256	5	9.265232	409
256	5	9.226797	409
256	5	9.254377	409
256	5	9.272958	409
256	5	9.256235	409
256	5	9.254474	409
256	5	11.501320	409
256	5	9.251149	409
256	5	9.241760	409
256	5	9.260440	409
256	5	9.277555	409
256	5	9.225917	409
256	5	9.230318	409
256	5	9.228264	409
256	5	9.250269	409
256	5	11.476088	409
256	5	9.234719	409
256	5	9.236479	409
256	5	9.244597	409
256	5	9.236870	409
256	5	9.235306	409
256	5	9.236284	409
256	5	9.262494	409
256	5	9.226797	409
256	5	10.123227	409
256	5	9.249291	409
256	5	9.229535	409
256	5	13.237359	409
256	5	9.238435	409
256	5	10.061809	409
256	5	9.256724	409
256	5	9.269242	409
256	5	9.273643	409
256	5	11.885770	409
256	5	9.253692	409
256	5	9.242347	409
256	5	9.203619	409
256	5	9.254963	409
256	5	9.232958	409
256	5	12.837262	409
256	5	13.171540	409
256	5	13.113643	409
256	5	10.120880	409
256	5	9.252910	409
256	5	12.917359	409
256	5	9.422787	409
256	5	13.446161	409
256	5	9.257506	409
256	5	9.272469	409
256	5	9.277653	409
256	5	9.285281	409
256	5	9.316479	409
256	5	13.045672	409
256	5	9.241858	409
256	5	9.248117	409
256	5	9.264059	409
256	5	9.231100	409
256	5	9.267384	409
256	5	9.405868	409
256	5	9.308655	409
256	5	9.268166	409
256	5	9.251051	409
256	5	9.257115	409
256	5	9.254866	409
256	5	9.228655	409
256	5	12.510318	409
256	5	9.261516	409
256	5	9.220342	409
256	5	9.252910	409
256	5	9.243716	409
256	5	9.243814	409
256	5	9.266504	409
256	5	9.265721	409
256	5	9.254474	409
256	5	10.251638	409
256	5	9.240000	409
256	5	9.252616	409
256	5	9.294181	409
256	5	9.235892	409
256	5	9.267971	409
256	5	9.236186	409
256	5	9.244988	409
256	5	9.250269	409
256	5	9.267775	409
256	5	9.221907	409
256	5	9.228557	409
256	5	10.087237	409
256	5	9.313936	409
256	5	9.256626	409
256	5	9.242738	409
256	5	9.233936	409
256	5	9.232567	409
256	5	9.245183	409
256	5	9.254083	409
256	5	10.000098	409
256	5	9.247824	409
256	5	9.240293	409
256	5	9.260636	409
256	5	9.260049	409
256	12	9.387656	256
256	12	9.360312	256
256	12	9.398281	256
256	12	9.360000	256
256	12	9.380313	256
256	12	9.373437	256
256	12	9.371094	256
256	12	9.360781	256
256	12	9.387031	256
256	12	9.407344	256
256	12	9.382031	256
256	12	9.409219	256
256	12	9.382031	256
256	12	9.361719	256
256	12	9.364062	256
256	12	9.367969	256
256	12	9.328750	256
256	12	9.390313	256
256	12	9.355156	256
256	12	9.399531	256
256	12	9.372031	256
256	12	13.463750	256
256	12	9.414219	256
256	12	9.486875	256
256	12	9.409062	256
256	12	9.449063	256
256	12	9.350625	256
256	12	9.387656	256
256	12	9.414687	256
256	12	9.360625	256
256	12	16.045625	256
256	12	9.392656	256
256	12	9.387813	256
256	12	9.428906	256
256	12	9.400469	256
256	12	9.359375	256
256	12	9.375937	256
256	12	9.423594	256
256	12	9.376094	256
256	12	9.516562	256
256	12	11.198281	256
256	12	9.414062	256
256	12	9.401094	256
256	12	9.407813	256
256	12	9.383281	256
256	12	9.359844	256
256	12	9.415938	256
256	12	9.370000	256
256	12	9.383594	256
256	12	13.008281	256
256	12	9.350625	256
256	12	9.405938	256
256	12	9.375312	256
256	12	9.352969	256
256	12	9.359375	256
256	12	9.368906	256
256	12	9.417344	256
256	12	9.363594	256
256	12	12.905625	256
256	12	9.409219	256
256	12	9.386250	256
256	12	9.388281	256
256	12	9.407969	256
256	12	9.356094	256
256	12	9.374063	256
256	12	9.392812	256
256	12	9.362187	256
256	12	9.372031	256
256	12	9.355625	256
256	12	9.381094	256
256	12	9.390313	256
256	12	9.403750	256
256	12	9.387656	256
256	12	9.403438	256
256	12	9.394844	256
256	12	9.397969	256
256	12	9.380625	256
256	12	9.371094	256
256	12	9.411563	256
256	12	9.368125	256
256	12	9.378438	256
256	12	9.383125	256
256	12	9.366563	256
256	12	9.367031	256
256	12	9.330312	256
256	12	9.366094	256
256	12	9.374219	256
256	12	9.377812	256
256	12	9.401563	256
256	12	11.022031	256
256	12	9.391094	256
256	12	9.428125	256
256	12	9.369375	256
256	12	9.929531	256
256	12	9.332656	256
256	12	9.392656	256
256	12	9.425781	256
256	12	9.382656	256
256	12	9.361094	256
256	12	9.406719	256
256	51	9.393437	256
256	51	11.346719	256
256	51	9.379687	256
256	51	9.387031	256
256	51	9.352344	256
256	51	9.391094	256
256	51	9.388594	256
256	51	9.355937	256
256	51	9.396094	256
256	51	9.388594	256
256	51	9.412969	256
256	51	9.392188	256
256	51	9.517188	256
256	51	9.580781	256
256	51	9.320000	256
256	51	11.127031	256
256	51	9.415781	256
256	51	9.385781	256
256	51	9.369687	256
256	51	9.407656	256
256	51	13.008594	256
256	51	9.422031	256
256	51	9.701562	256
256	51	9.413125	256
256	51	9.465781	256
256	51	9.397656	256
256	51	9.396406	256
256	51	9.407969	256
256	51	9.385781	256
256	51	9.399062	256
256	51	9.359375	256
256	51	9.373906	256
256	51	9.395781	256
256	51	9.409688	256
256	51	9.393906	256
256	51	9.371875	256
256	51	9.384531	256
256	51	9.356406	256
256	51	9.393437	256
256	51	9.370469	256
256	51	9.411719	256
256	51	9.387187	256
256	51	9.361406	256
256	51	9.358906	256
256	51	9.374063	256
256	51	9.392344	256
256	51	9.414062	256
256	51	9.397187	256
256	51	13.475469	256
256	51	12.565469	256
256	51	15.022969	256
256	51	9.393750	256
256	51	9.369687	256
256	51	9.354688	256
256	51	9.372031	256
256	51	9.372500	256
256	51	9.406406	256
256	51	9.464531	256
256	51	9.364844	256
256	51	9.377031	256
256	51	9.374688	256
256	51	9.426875	256
256	51	9.403906	256
256	51	9.414062	256
256	51	9.480469	256
256	51	9.392656	256
256	51	9.458281	256
256	51	9.562656	256
256	51	9.710938	256
256	51	9.368906	256
256	51	9.361250	256
256	51	9.360625	256
256	51	9.398594	256
256	51	9.373906	256
256	51	9.387031	256
256	51	9.430781	256
256	51	9.398438	256
256	51	11.370781	256
256	51	9.418906	256
256	51	13.292656	256
256	51	9.432031	256
256	51	9.399375	256
256	51	9.396094	256
256	51	9.374531	256
256	51	9.375781	256
256	51	9.432031	256
256	51	9.361875	256
256	51	9.330625	256
256	51	9.389219	256
256	51	9.419219	256
256	51	9.394219	256
256	51	9.414375	256
256	51	9.392188	256
256	51	9.380781	256
256	51	9.401094	256
256	51	9.402344	256
256	51	9.385000	256
256	51	9.451562	256
256	51	9.377812	256
256	51	9.417188	256
256	93	9.468594	256
256	93	9.463594	256
256	93	9.452500	256
256	93	9.438594	256
256	93	9.432969	256
256	93	9.706406	256
256	93	10.991875	256
256	93	9.847344	256
256	93	9.877500	256
256	93	9.772813	256
256	93	11.345781	256
256	93	9.454688	256
256	93	9.453750	256
256	93	9.473125	256
256	93	10.369609	256
256	93	9.461094	256
256	93	9.455469	256
256	93	9.445156	256
256	93	9.464844	256
256	93	9.435000	256
256	93	10.343438	256
256	93	9.465000	256
256	93	10.260625	256
256	93	10.151563	256
256	93	9.551094	256
256	93	9.505625	256
256	93	10.087813	256
256	93	9.457812	256
256	93	9.759531	256
256	93	9.468906	256
256	93	9.568281	256
256	93	11.366406	256
256	93	9.842031	256
256	93	10.504062	256
256	93	9.492812	256
256	93	9.499688	256
256	93	9.715938	256
256	93	9.447344	256
256	93	9.489531	256
256	93	9.480000	256
256	93	9.504062	256
256	93	9.494219	256
256	93	9.478438	256
256	93	9.490781	256
256	93	9.470313	256
256	93	9.475000	256
256	93	9.464531	256
256	93	9.461406	256
256	93	9.494219	256
256	93	9.455469	256
256	93	9.443750	256
256	93	9.454844	256
256	93	9.484844	256
256	93	9.439375	256
256	93	9.498594	256
256	93	9.494531	256
256	93	9.462344	256
256	93	10.671563	256
256	93	9.984531	256
256	93	10.051094	256
256	93	9.490625	256
256	93	9.617500	256
256	93	9.529687	256
256	93	9.504375	256
256	93	9.464688	256
256	93	9.520781	256
256	93	9.499219	256
256	93	9.438906	256
256	93	9.486875	256
256	93	9.428125	256
256	93	9.452344	256
256	93	9.490312	256
256	93	9.515313	256
256	93	9.446406	256
256	93	13.021719	256
256	93	9.467031	256
256	93	9.483438	256
256	93	9.477500	256
256	93	9.465781	256
256	93	9.460625	256
256	93	9.533437	256
256	93	9.964531	256
256	93	9.488281	256
256	93	9.443281	256
256	93	10.888281	256
256	93	10.376406	256
256	93	9.741406	256
256	93	9.587188	256
256	93	9.670625	256
256	93	9.484219	256
256	93	9.465156	256
256	93	9.445625	256
256	93	9.494375	256
256	93	9.465938	256
256	93	9.503438	256
256	93	9.435625	256
256	93	9.455937	256
256	93	9.445469	256
256	93	9.455469	256
256	93	9.431563	256
768	1	9.191348	6144
768	1	9.092480	6144
768	1	9.084434	6144
768	1	9.207305	6144
768	1	9.106178	6144
768	1	10.006243	6144
768	1	9.335801	6144
768	1	9.222461	6144
768	1	9.170033	6144
768	1	9.220410	6144
768	1	9.832819	6144
768	1	9.095313	6144
768	1	9.179232	6144
768	1	9.089212	6144
768	1	9.096198	6144
768	1	9.165013	6144
768	1	9.089902	6144
768	1	9.318229	6144
768	1	9.359225	6144
768	1	9.226908	6144
768	1	9.100358	6144
768	1	9.140827	6144
768	1	9.171621	6144
768	1	9.179342	6144
768	1	9.147018	6144
768	1	9.259544	6144
768	1	9.260716	6144
768	1	9.252507	6144
768	1	9.096302	6144
768	1	9.311107	6144
768	1	9.273262	6144
768	1	9.351217	6144
768	1	9.260176	6144
768	1	9.172155	6144
768	1	9.364069	6144
768	1	9.277773	6144
768	1	9.164909	6144
768	1	9.357767	6144
768	1	9.265176	6144
768	1	9.169785	6144
768	1	9.637493	6144
768	1	9.520540	6144
768	1	9.159655	6144
768	1	9.367520	6144
768	1	9.266797	6144
768	1	9.095007	6144
768	1	9.268385	6144
768	1	9.262826	6144
768	1	9.113770	6144
768	1	9.329967	6144
768	1	9.307318	6144
768	1	9.349082	6144
768	1	9.596133	6144
768	1	9.217181	6144
768	1	9.168079	6144
768	1	9.240345	6144
768	1	9.274707	6144
768	1	9.267689	6144
768	1	9.465833	6144
