L	D	resultado	clockRate
256	1	12.902716	3392.5
256	2	19.499068	3392.5
256	10	20.368890	3392.5
256	50	22.047619	3392.5
256	90	20.999231	3392.5
768	1	19.232438	3392.5
768	2	19.354541	3392.5
768	10	20.049086	3392.5
768	50	20.899532	3392.5
768	90	20.933225	3392.5
2048	1	19.239790	3392.5
2048	2	19.316971	3392.5
2048	10	19.850375	3392.5
2048	50	20.030391	3392.5
2048	90	20.586943	3392.5
3072	1	19.232684	3392.5
3072	2	19.327301	3392.5
3072	10	20.428019	3392.5
3072	50	20.286670	3392.5
3072	90	20.135719	3392.5
8192	1	19.237712	3392.5
8192	2	19.322245	3392.5
8192	10	21.720102	3392.5
8192	50	20.470465	3392.5
8192	90	21.207305	3392.5
16384	1	19.255543	3392.5
16384	2	19.271340	3392.5
16384	10	21.679086	3392.5
16384	50	22.046725	3392.5
16384	90	20.748046	3392.5
32768	1	18.403004	3392.5
32768	2	18.371090	3392.5
32768	10	22.637651	3392.5
32768	50	25.758062	3392.5
32768	90	23.849570	3392.5
