L	D	resultado	R	PAPI_L3_TCA	fallo
256	1	13.014688	2048	380	0
256	1	13.022646	2048	183	0
256	1	11.906201	2048	378	0
256	1	11.069199	2048	150	0
256	1	10.704727	2048	178	0
256	1	10.681152	2048	151	0
256	1	11.025684	2048	137	0
256	1	10.323574	2048	159	0
256	1	10.634336	2048	401	0
256	1	9.672520	2048	150	0
256	5	10.124303	409	146	0
256	5	9.833007	409	138	0
256	5	9.524988	409	155	0
256	5	9.805966	409	144	0
256	5	9.569780	409	147	0
256	5	9.255941	409	178	0
256	5	13.381418	409	283	0
256	5	9.241271	409	150	0
256	5	13.300538	409	352	0
256	5	10.357262	409	209	0
256	12	9.352969	256	191	0
256	12	13.276406	256	448	0
256	12	9.386563	256	207	0
256	12	9.369844	256	212	0
256	12	9.369375	256	220	0
256	12	9.385156	256	207	0
256	12	9.451562	256	215	0
256	12	9.417188	256	195	0
256	12	9.385312	256	207	0
256	12	9.401250	256	236	0
256	51	9.366406	256	347	0
256	51	9.376406	256	335	0
256	51	9.361562	256	333	0
256	51	9.391719	256	338	0
256	51	9.405313	256	349	0
256	51	9.370313	256	328	0
256	51	9.368281	256	354	0
256	51	9.401563	256	338	0
256	51	9.511875	256	334	0
256	51	9.398438	256	341	0
256	93	9.501250	256	350	0
256	93	9.926094	256	333	0
256	93	9.488281	256	340	0
256	93	9.503750	256	342	0
256	93	15.167031	256	600	0
256	93	9.403750	256	341	0
256	93	9.414844	256	331	0
256	93	9.557187	256	333	0
256	93	9.926875	256	388	0
256	93	9.897031	256	379	0
768	1	9.152891	6144	338	0
768	1	9.161387	6144	443	0
768	1	9.083848	6144	270	0
768	1	9.287070	6144	400	0
768	1	9.093542	6144	261	0
768	1	9.182227	6144	325	0
768	1	9.092103	6144	285	0
768	1	9.223424	6144	473	0
768	1	9.407383	6144	629	0
768	1	9.204193	6144	374	0
768	5	9.800261	1228	353	0
768	5	9.216384	1228	289	0
768	5	9.219088	1228	251	0
768	5	9.237557	1228	252	0
768	5	13.340977	1228	849	0
768	5	14.976319	1228	757	0
768	5	9.214853	1228	253	0
768	5	9.223681	1228	247	0
768	5	9.225765	1228	306	0
768	5	9.227199	1228	269	0
768	12	9.486042	768	456	0
768	12	9.479948	768	476	0
768	12	9.501927	768	483	0
768	12	9.505208	768	466	0
768	12	9.488958	768	444	0
768	12	9.466458	768	472	0
768	12	9.497813	768	436	0
768	12	13.101458	768	646	0
768	12	9.494948	768	467	0
768	12	9.493958	768	449	0
768	51	9.579583	768	927	0
768	51	9.482656	768	906	0
768	51	9.800104	768	2528	0
768	51	9.486562	768	907	0
768	51	9.597656	768	909	0
768	51	9.499010	768	896	0
768	51	15.655677	768	1285	0
768	51	9.521823	768	914	0
768	51	9.504271	768	912	0
768	51	9.493073	768	884	0
768	93	10.269323	768	8470	0
768	93	9.974375	768	1693	0
768	93	10.377604	768	4177	0
768	93	10.005885	768	2622	0
768	93	10.591354	768	1363	0
768	93	11.976615	768	2411	0
768	93	9.953229	768	1025	0
768	93	10.171198	768	1061	0
768	93	9.993229	768	1680	0
768	93	9.736615	768	953	0
2048	1	9.104382	16384	3295	0
2048	1	10.022422	16384	5905	0
2048	1	9.133877	16384	2985	0
2048	1	9.122847	16384	1193	0
2048	1	10.664497	16384	5946	0
2048	1	9.257695	16384	2784	0
2048	1	9.104287	16384	1873	0
