L	D	resultado	R	PAPI_L3_TCM	fallo
256	1	9.113711	2048	38	0
256	1	9.648809	2048	43	0
256	1	9.357520	2048	25	0
256	1	9.115391	2048	30	0
256	1	9.152520	2048	23	0
256	1	9.102129	2048	27	0
256	1	9.625273	2048	28	0
256	1	9.391309	2048	15	0
256	1	9.106758	2048	29	0
256	1	9.109180	2048	18	0
256	5	9.232372	409	21	0
256	5	12.790024	409	40	0
256	5	9.231589	409	30	0
256	5	9.255941	409	27	0
256	5	9.288606	409	23	0
256	5	9.235795	409	24	0
256	5	9.232078	409	22	0
256	5	9.257995	409	20	0
256	5	9.242347	409	23	0
256	5	9.503472	409	33	0
256	12	9.355781	256	29	0
256	12	9.374688	256	31	0
256	12	9.480313	256	26	0
256	12	13.752812	256	70	0
256	12	26.297031	256	64	0
256	12	9.405156	256	31	0
256	12	9.361250	256	18	0
256	12	12.968906	256	51	0
256	12	9.366875	256	26	0
256	12	9.358125	256	24	0
256	51	9.528438	256	34	0
256	51	10.041719	256	273	0
256	51	9.536094	256	119	0
256	51	9.561406	256	99	0
256	51	9.371875	256	28	0
256	51	9.358594	256	20	0
256	51	9.357500	256	34	0
256	51	9.368438	256	28	0
256	51	11.429844	256	53	0
256	51	9.372344	256	36	0
256	93	9.460156	256	40	0
256	93	9.376406	256	24	0
256	93	9.398906	256	28	0
256	93	9.407969	256	26	0
256	93	9.382500	256	28	0
256	93	10.060313	256	150	0
256	93	9.420000	256	32	0
256	93	9.515937	256	58	0
256	93	9.438906	256	25	0
256	93	9.398438	256	34	0
768	1	9.771172	6144	170	0
768	1	9.092773	6144	23	0
768	1	9.087650	6144	27	0
768	1	9.240332	6144	23	0
768	1	9.096217	6144	22	0
768	1	9.202018	6144	66	0
768	1	9.243320	6144	19	0
768	1	9.246497	6144	20	0
768	1	9.093105	6144	37	0
768	1	9.379453	6144	23	0
768	5	9.223225	1228	22	0
768	5	10.200293	1228	32	0
768	5	9.589935	1228	24	0
768	5	9.228176	1228	22	0
768	5	9.246971	1228	81	0
768	5	9.363160	1228	57	0
768	5	9.232508	1228	46	0
768	5	9.218567	1228	30	0
768	5	9.223713	1228	27	0
768	5	9.228599	1228	26	0
768	12	9.463802	768	20	0
768	12	9.484792	768	22	0
768	12	9.493646	768	18	0
768	12	9.480000	768	32	0
768	12	9.453021	768	35	0
768	12	9.520417	768	64	0
768	12	10.154323	768	994	0
768	12	9.766823	768	370	0
768	12	10.554063	768	1726	0
768	12	9.868854	768	25	0
768	51	9.494844	768	49	0
768	51	9.483490	768	54	0
768	51	11.298802	768	177	0
768	51	9.504062	768	51	0
768	51	9.497917	768	63	0
768	51	9.575417	768	129	0
768	51	9.545625	768	86	0
768	51	9.500365	768	63	0
768	51	9.563229	768	110	0
768	51	16.557865	768	232	0
768	93	10.052188	768	128	0
768	93	9.848958	768	107	0
768	93	10.121875	768	371	0
768	93	9.730990	768	123	0
768	93	10.541615	768	138	0
768	93	9.690156	768	117	0
768	93	9.826927	768	160	0
768	93	12.304635	768	394	0
768	93	9.956406	768	462	0
768	93	9.869323	768	62	0
2048	1	9.352041	16384	224	0
2048	1	9.413430	16384	272	0
2048	1	9.820774	16384	255	0
2048	1	9.311187	16384	190	0
2048	1	11.695078	16384	312	0
2048	1	9.324326	16384	299	0
2048	1	9.176226	16384	90	0
2048	1	9.312812	16384	304	0
2048	1	9.147058	16384	69	0
2048	1	9.258198	16384	473	0
2048	5	9.199414	3276	98	0
2048	5	9.349744	3276	185	0
2048	5	9.183785	3276	55	0
2048	5	9.185299	3276	26	0
2048	5	9.463895	3276	433	0
2048	5	9.362405	3276	47	0
2048	5	9.202344	3276	88	0
2048	5	9.588584	3276	58	0
2048	5	9.184298	3276	38	0
2048	5	9.335372	3276	53	0
2048	12	10.471504	2048	690	0
2048	12	16.537363	2048	790	0
2048	12	9.400469	2048	46	0
2048	12	9.960898	2048	76	0
2048	12	10.038516	2048	101	0
2048	12	9.491211	2048	38	0
2048	12	10.994473	2048	3541	0
2048	12	9.907813	2048	104	0
2048	12	9.884922	2048	32	0
2048	12	9.950273	2048	399	0
2048	51	9.925801	2048	457	0
2048	51	10.654922	2048	1833	0
2048	51	10.795762	2048	382	0
2048	51	9.998906	2048	363	0
2048	51	9.973301	2048	205	0
2048	51	9.929258	2048	374	0
2048	51	14.957168	2048	272	0
2048	51	10.286094	2048	770	0
2048	51	9.822832	2048	145	0
2048	51	10.009297	2048	607	0
2048	93	13.208770	2048	1788	0
2048	93	10.477129	2048	1570	0
2048	93	10.348828	2048	548	0
2048	93	9.783320	2048	321	0
2048	93	9.911309	2048	373	0
2048	93	11.837500	2048	4544	0
2048	93	12.501387	2048	7637	0
2048	93	12.880391	2048	7839	0
2048	93	12.384102	2048	4577	0
2048	93	10.476074	2048	1728	0
3072	1	9.185658	24576	746	0
3072	1	9.119489	24576	328	0
3072	1	10.159748	24576	478	0
3072	1	9.106123	24576	122	0
3072	1	9.470488	24576	254	0
3072	1	9.286685	24576	295	0
3072	1	9.176053	24576	65	0
3072	1	9.099517	24576	40	0
3072	1	9.501354	24576	1223	0
3072	1	9.128543	24576	449	0
3072	5	9.497782	4915	3256	0
3072	5	10.078161	4915	2771	0
3072	5	9.374511	4915	3732	0
3072	5	9.345579	4915	225	0
3072	5	9.207430	4915	259	0
3072	5	10.502193	4915	71	0
3072	5	9.632684	4915	5137	0
3072	5	9.463691	4915	4165	0
3072	5	9.354808	4915	2175	0
3072	5	9.369050	4915	41	0
3072	12	10.012969	3072	26	0
3072	12	10.505286	3072	855	0
3072	12	10.366458	3072	102	0
3072	12	10.104805	3072	36	0
3072	12	10.097539	3072	603	0
3072	12	10.326198	3072	79	0
3072	12	12.644310	3072	974	0
3072	12	10.193125	3072	290	0
3072	12	10.419440	3072	270	0
