L	D	resultado	R	PAPI_L2_TCA	fallo
256	1	9.105879	2048	1716	0
256	1	9.147383	2048	1736	0
256	1	9.141328	2048	1629	0
256	1	9.767051	2048	2326	0
256	1	9.160781	2048	725	0
256	1	9.476641	2048	4506	0
256	1	9.225547	2048	1771	0
256	1	9.109121	2048	1819	0
256	1	9.104102	2048	1805	0
256	1	9.099707	2048	1832	0
256	5	9.220244	409	508	0
256	5	9.244108	409	517	0
256	5	9.235990	409	508	0
256	5	9.251834	409	510	0
256	5	9.227384	409	509	0
256	5	9.233545	409	541	0
256	5	9.229535	409	518	0
256	5	9.285281	409	531	0
256	5	10.704645	409	1315	0
256	5	9.348166	409	513	0
256	12	9.351875	256	488	0
256	12	9.358281	256	498	0
256	12	12.370000	256	1650	0
256	12	11.162812	256	868	0
256	12	9.943437	256	602	0
256	12	9.415625	256	506	0
256	12	9.358281	256	492	0
256	12	9.372813	256	514	0
256	12	9.357344	256	490	0
256	12	9.362031	256	487	0
256	51	9.360938	256	515	0
256	51	9.386250	256	508	0
256	51	9.390781	256	501	0
256	51	9.386250	256	506	0
256	51	9.355000	256	508	0
256	51	9.374219	256	479	0
256	51	9.366250	256	498	0
256	51	9.357500	256	488	0
256	51	13.561094	256	3804	0
256	51	9.999375	256	651	0
256	93	9.378750	256	5833	0
256	93	9.377500	256	6252	0
256	93	9.369531	256	4383	0
256	93	9.494844	256	5071	0
256	93	9.459375	256	4875	0
256	93	12.853438	256	10828	0
256	93	16.971406	256	13429	0
256	93	9.544688	256	5860	0
256	93	9.376250	256	5383	0
256	93	9.379844	256	5760	0
768	1	9.093424	6144	115404	0
768	1	9.251270	6144	115536	0
768	1	9.093626	6144	115877	0
768	1	9.332096	6144	115488	0
768	1	9.109792	6144	115445	0
768	1	9.251803	6144	115492	0
768	1	9.545905	6144	115405	0
768	1	9.300944	6144	115521	0
768	1	9.287852	6144	115467	0
768	1	9.194616	6144	115443	0
768	5	9.218730	1228	84519	0
768	5	9.220130	1228	84531	0
768	5	9.382345	1228	84555	0
768	5	9.230749	1228	84424	0
768	5	9.229870	1228	84556	0
768	5	9.229349	1228	84679	0
768	5	14.689609	1228	84204	0
768	5	9.221759	1228	84648	0
768	5	9.354756	1228	84621	0
768	5	9.246580	1228	84625	0
768	12	9.517292	768	81760	0
768	12	9.504740	768	81595	0
768	12	9.473542	768	81717	0
768	12	10.549844	768	81743	0
768	12	9.478958	768	81707	0
768	12	9.611042	768	81648	0
768	12	9.502187	768	81861	0
768	12	9.496094	768	81674	0
768	12	9.461615	768	81777	0
768	12	9.683802	768	81899	0
768	51	9.500625	768	81854	0
768	51	9.524271	768	81687	0
768	51	10.014062	768	81670	0
768	51	10.884010	768	81556	0
768	51	9.494479	768	81685	0
768	51	9.509583	768	81777	0
768	51	9.558542	768	81717	0
768	51	9.492083	768	81656	0
768	51	15.584271	768	80451	0
768	51	9.545469	768	81707	0
768	93	9.953854	768	76836	0
768	93	9.883385	768	75820	0
768	93	9.744167	768	76322	0
768	93	9.923229	768	76967	0
768	93	9.909219	768	77413	0
768	93	10.002708	768	77634	0
768	93	10.980833	768	77533	0
768	93	9.699844	768	76124	0
768	93	9.907917	768	77442	0
768	93	9.819219	768	77502	0
2048	1	9.208542	16384	307389	0
2048	1	9.288657	16384	307535	0
2048	1	9.151965	16384	307561	0
2048	1	9.940234	16384	307669	0
2048	1	9.156150	16384	307564	0
2048	1	12.402688	16384	308794	0
2048	1	9.801487	16384	308050	0
2048	1	9.116113	16384	307586	0
2048	1	9.187625	16384	307562	0
2048	1	9.123872	16384	307499	0
2048	5	9.508474	3276	225266	0
2048	5	9.400305	3276	225236	0
2048	5	9.184005	3276	225187	0
2048	5	9.180537	3276	225614	0
2048	5	9.427534	3276	225343	0
2048	5	9.185153	3276	225532	0
2048	5	10.305629	3276	225538	0
2048	5	9.423553	3276	225288	0
2048	5	9.181746	3276	225544	0
2048	5	9.183785	3276	225450	0
2048	12	9.863770	2048	217592	0
2048	12	9.868086	2048	218069	0
2048	12	9.626699	2048	217591	0
2048	12	9.631855	2048	217803	0
2048	12	9.883203	2048	217489	0
2048	12	9.426914	2048	217648	0
2048	12	9.514727	2048	217499	0
2048	12	10.401016	2048	217830	0
2048	12	9.669297	2048	217651	0
2048	12	9.909941	2048	217428	0
2048	51	9.941113	2048	217618	0
2048	51	9.804258	2048	217559	0
2048	51	9.980684	2048	217774	0
2048	51	10.045332	2048	217777	0
2048	51	9.968438	2048	217688	0
2048	51	10.001719	2048	217542	0
2048	51	10.074375	2048	217701	0
2048	51	9.932461	2048	217620	0
2048	51	10.204141	2048	217723	0
2048	51	10.414512	2048	217867	0
2048	93	10.001914	2048	217911	0
2048	93	10.081328	2048	217702	0
2048	93	12.559199	2048	218202	0
2048	93	9.990391	2048	217939	0
2048	93	10.000742	2048	217869	0
2048	93	10.019414	2048	218075	0
2048	93	10.044980	2048	217700	0
2048	93	9.935508	2048	217877	0
2048	93	9.920195	2048	217884	0
2048	93	10.095137	2048	217668	0
3072	1	9.127134	24576	461199	0
3072	1	9.152728	24576	461323	0
3072	1	10.500023	24576	462124	0
3072	1	9.585622	24576	461485	0
3072	1	9.111647	24576	461240	0
3072	1	9.105116	24576	461328	0
3072	1	9.486344	24576	461320	0
3072	1	9.175664	24576	461117	0
3072	1	9.166217	24576	461106	0
3072	1	9.189232	24576	461061	0
3072	5	9.404435	4915	338150	0
3072	5	9.686893	4915	337980	0
3072	5	9.392383	4915	338191	0
3072	5	14.651337	4915	339048	0
3072	5	9.186930	4915	338248	0
3072	5	9.238722	4915	338002	0
3072	5	9.196273	4915	338121	0
3072	5	12.581965	4915	338325	0
3072	5	9.186612	4915	338073	0
3072	5	9.178059	4915	338225	0
3072	12	9.945404	3072	326390	0
3072	12	10.585534	3072	326302	0
3072	12	10.108255	3072	326452	0
3072	12	10.157240	3072	326182	0
3072	12	10.168958	3072	326450	0
3072	12	9.858672	3072	326233	0
3072	12	10.351120	3072	326296	0
3072	12	10.242839	3072	326276	0
3072	12	11.326732	3072	326516	0
3072	12	10.222878	3072	326446	0
3072	51	10.512630	3072	326236	0
3072	51	13.794766	3072	327628	0
3072	51	10.897148	3072	326564	0
3072	51	11.036484	3072	326555	0
3072	51	10.702852	3072	326697	0
3072	51	11.410352	3072	326937	0
3072	51	10.659010	3072	326344	0
