L	D	resultado	R	PAPI_SR_INS	fallo
256	1	22.638682	2048	410065	0
256	1	14.060898	2048	410065	0
256	1	14.777681	2048	410065	0
256	1	13.464951	2048	410065	0
256	1	13.783955	2048	410065	0
256	1	12.907217	2048	410065	0
256	1	12.608457	2048	410065	0
256	1	13.924238	2048	410065	0
256	1	12.398218	2048	410065	0
256	1	12.388330	2048	410065	0
256	5	11.656479	409	82265	0
256	5	12.055697	409	82265	0
256	5	11.632469	409	82265	0
256	5	13.625672	409	82265	0
256	5	11.214279	409	82265	0
256	5	10.830318	409	82265	0
256	5	10.843619	409	82265	0
256	5	10.470024	409	82265	0
256	5	10.474621	409	82265	0
256	5	10.472469	409	82265	0
256	12	10.257656	256	51665	0
256	12	10.275156	256	51665	0
256	12	10.263906	256	51665	0
256	12	9.979922	256	51665	0
256	12	9.953984	256	51665	0
256	12	9.949453	256	51665	0
256	12	9.632500	256	51665	0
256	12	9.638750	256	51665	0
256	12	9.643281	256	51665	0
256	12	9.360312	256	51665	0
256	51	9.405781	256	51665	0
256	51	9.389688	256	51665	0
256	51	9.377500	256	51665	0
256	51	9.437969	256	51665	0
256	51	9.407031	256	51665	0
256	51	9.350312	256	51665	0
256	51	9.384844	256	51665	0
256	51	9.377187	256	51665	0
256	51	9.375781	256	51665	0
256	51	9.396719	256	51665	0
256	93	9.490937	256	51665	0
256	93	10.174062	256	51665	0
256	93	9.418281	256	51665	0
256	93	9.560156	256	51665	0
256	93	9.380937	256	51665	0
256	93	9.744687	256	51665	0
256	93	9.410156	256	51665	0
256	93	9.624375	256	51665	0
256	93	9.446719	256	51665	0
256	93	9.443281	256	51665	0
768	1	9.196530	6144	1229265	0
768	1	9.089447	6144	1229265	0
768	1	9.090833	6144	1229265	0
768	1	10.175436	6144	1229265	0
768	1	9.093958	6144	1229265	0
768	1	9.605827	6144	1229265	0
768	1	9.093359	6144	1229265	0
768	1	9.516712	6144	1229265	0
768	1	10.557422	6144	1229265	0
768	1	12.782682	6144	1229265	0
768	5	9.245342	1228	246065	0
768	5	10.961824	1228	246065	0
768	5	9.226450	1228	246065	0
768	5	9.271954	1228	246065	0
768	5	9.230651	1228	246065	0
768	5	9.269674	1228	246065	0
768	5	9.214397	1228	246065	0
768	5	9.767850	1228	246065	0
768	5	9.225863	1228	246065	0
768	5	9.212834	1228	246065	0
768	12	11.949740	768	154065	0
768	12	10.812969	768	154065	0
768	12	9.553125	768	154065	0
768	12	10.252500	768	154065	0
768	12	9.673750	768	154065	0
768	12	9.493698	768	154065	0
768	12	9.484115	768	154065	0
768	12	9.736094	768	154065	0
768	12	9.482760	768	154065	0
768	12	9.471354	768	154065	0
768	51	9.516406	768	154065	0
768	51	9.527396	768	154065	0
768	51	9.530625	768	154065	0
768	51	12.616042	768	154065	0
768	51	11.122656	768	154065	0
768	51	9.518437	768	154065	0
768	51	9.604167	768	154065	0
768	51	9.493490	768	154065	0
768	51	9.650573	768	154065	0
768	51	9.487292	768	154065	0
768	93	9.723854	768	154065	0
768	93	11.575365	768	154065	0
768	93	9.689063	768	154065	0
768	93	9.622552	768	154065	0
768	93	9.660729	768	154065	0
768	93	10.312135	768	154065	0
768	93	9.784427	768	154065	0
768	93	9.738333	768	154065	0
768	93	9.738906	768	154065	0
768	93	9.686823	768	154065	0
2048	1	9.163535	16384	3277265	0
2048	1	9.938306	16384	3277265	0
2048	1	9.144043	16384	3277265	0
2048	1	9.118474	16384	3277265	0
2048	1	9.114104	16384	3277265	0
2048	1	9.188457	16384	3277265	0
2048	1	9.195715	16384	3277265	0
2048	1	9.162673	16384	3277265	0
2048	1	9.562710	16384	3277265	0
2048	1	9.170940	16384	3277265	0
2048	5	10.275311	3276	655665	0
2048	5	9.181673	3276	655665	0
2048	5	9.179096	3276	655665	0
2048	5	10.161026	3276	655665	0
2048	5	9.192015	3276	655665	0
2048	5	9.194066	3276	655665	0
2048	5	9.461783	3276	655665	0
2048	5	9.186728	3276	655665	0
2048	5	9.183480	3276	655665	0
2048	5	9.578083	3276	655665	0
2048	12	10.000488	2048	410065	0
2048	12	9.841328	2048	410065	0
2048	12	10.116875	2048	410065	0
2048	12	11.821367	2048	410065	0
2048	12	9.526133	2048	410065	0
2048	12	9.426562	2048	410065	0
2048	12	10.536094	2048	410065	0
2048	12	9.428828	2048	410065	0
2048	12	9.485957	2048	410065	0
2048	12	9.437500	2048	410065	0
2048	51	10.007773	2048	410065	0
2048	51	15.629180	2048	410065	0
2048	51	9.840586	2048	410065	0
2048	51	9.942480	2048	410065	0
2048	51	10.255117	2048	410065	0
2048	51	9.860762	2048	410065	0
2048	51	11.095215	2048	410065	0
2048	51	10.665781	2048	410065	0
2048	51	9.957910	2048	410065	0
2048	51	10.178477	2048	410065	0
2048	93	9.894922	2048	410065	0
2048	93	10.203828	2048	410065	0
2048	93	9.951523	2048	410065	0
2048	93	10.393770	2048	410065	0
2048	93	9.930234	2048	410065	0
2048	93	10.032266	2048	410065	0
2048	93	10.696504	2048	410065	0
2048	93	12.658125	2048	410065	0
2048	93	12.743711	2048	410065	0
2048	93	11.959434	2048	410065	0
3072	1	9.208983	24576	4915665	0
3072	1	9.180651	24576	4915665	0
3072	1	9.120942	24576	4915665	0
3072	1	9.610672	24576	4915665	0
3072	1	9.115086	24576	4915665	0
3072	1	9.504543	24576	4915665	0
3072	1	9.110309	24576	4915665	0
3072	1	9.091929	24576	4915665	0
3072	1	9.667401	24576	4915665	0
3072	1	9.149206	24576	4915665	0
3072	5	9.264374	4915	983465	0
3072	5	9.176399	4915	983465	0
3072	5	9.895666	4915	983465	0
3072	5	9.213054	4915	983465	0
3072	5	9.171670	4915	983465	0
3072	5	9.179084	4915	983465	0
3072	5	9.184684	4915	983465	0
3072	5	11.137123	4915	983465	0
3072	5	9.420077	4915	983465	0
3072	5	9.174250	4915	983465	0
3072	12	10.100104	3072	614865	0
3072	12	10.004766	3072	614865	0
3072	12	10.140247	3072	614865	0
3072	12	10.834674	3072	614865	0
3072	12	9.998112	3072	614865	0
3072	12	10.338490	3072	614865	0
3072	12	10.264102	3072	614865	0
3072	12	10.153763	3072	614865	0
3072	12	10.650365	3072	614865	0
3072	12	10.156602	3072	614865	0
3072	51	10.449245	3072	614865	0
3072	51	11.493815	3072	614865	0
3072	51	10.398255	3072	614865	0
3072	51	15.419388	3072	614865	0
3072	51	10.724505	3072	614865	0
3072	51	10.362734	3072	614865	0
3072	51	10.593177	3072	614865	0
3072	51	10.399479	3072	614865	0
3072	51	10.682487	3072	614865	0
3072	51	10.660234	3072	614865	0
3072	93	10.886016	3072	614865	0
3072	93	11.105143	3072	614865	0
3072	93	12.415013	3072	614865	0
3072	93	11.243971	3072	614865	0
3072	93	11.278086	3072	614865	0
3072	93	11.775937	3072	614865	0
3072	93	11.285169	3072	614865	0
3072	93	11.350365	3072	614865	0
3072	93	11.402305	3072	614865	0
3072	93	12.756966	3072	614865	0
8192	1	9.107339	65536	13107665	0
8192	1	9.158638	65536	13107665	0
8192	1	9.255301	65536	13107665	0
8192	1	9.144039	65536	13107665	0
8192	1	9.260591	65536	13107665	0
8192	1	9.829765	65536	13107665	0
8192	1	9.678831	65536	13107665	0
8192	1	9.255507	65536	13107665	0
8192	1	9.136314	65536	13107665	0
8192	1	9.369855	65536	13107665	0
8192	5	9.234571	13107	2621865	0
8192	5	9.369503	13107	2621865	0
8192	5	9.266120	13107	2621865	0
8192	5	9.378021	13107	2621865	0
8192	5	9.295781	13107	2621865	0
8192	5	10.248746	13107	2621865	0
8192	5	9.288649	13107	2621865	0
8192	5	9.244071	13107	2621865	0
8192	5	9.253657	13107	2621865	0
8192	5	9.540990	13107	2621865	0
8192	12	10.747485	8192	1638865	0
8192	12	10.700161	8192	1638865	0
8192	12	11.012085	8192	1638865	0
8192	12	10.805347	8192	1638865	0
8192	12	10.821763	8192	1638865	0
8192	12	10.744209	8192	1638865	0
8192	12	12.046533	8192	1638865	0
8192	12	10.734375	8192	1638865	0
8192	12	10.727705	8192	1638865	0
8192	12	10.713550	8192	1638865	0
8192	51	16.002148	8192	1638865	0
8192	51	14.005918	8192	1638865	0
8192	51	15.881895	8192	1638865	0
8192	51	15.284551	8192	1638865	0
8192	51	13.878901	8192	1638865	0
8192	51	14.902002	8192	1638865	0
8192	51	13.767524	8192	1638865	0
8192	51	15.842041	8192	1638865	0
8192	51	14.275967	8192	1638865	0
8192	51	13.564424	8192	1638865	0
8192	93	15.816597	8192	1638865	0
8192	93	13.347207	8192	1638865	0
8192	93	14.901299	8192	1638865	0
8192	93	14.407036	8192	1638865	0
8192	93	13.422705	8192	1638865	0
8192	93	15.746323	8192	1638865	0
8192	93	14.132705	8192	1638865	0
8192	93	13.877471	8192	1638865	0
8192	93	13.447319	8192	1638865	0
8192	93	14.403193	8192	1638865	0
16384	1	9.297443	131072	26214865	0
16384	1	9.525905	131072	26214865	0
16384	1	9.511035	131072	26214865	0
16384	1	9.343930	131072	26214865	0
16384	1	9.162180	131072	26214865	0
16384	1	9.508427	131072	26214865	0
16384	1	9.220972	131072	26214865	0
16384	1	9.239521	131072	26214865	0
16384	1	9.297386	131072	26214865	0
16384	1	9.248742	131072	26214865	0
16384	5	9.567488	26214	5243265	0
16384	5	9.449039	26214	5243265	0
16384	5	9.905945	26214	5243265	0
16384	5	9.649067	26214	5243265	0
16384	5	9.396985	26214	5243265	0
16384	5	9.732012	26214	5243265	0
16384	5	9.220847	26214	5243265	0
16384	5	10.085907	26214	5243265	0
16384	5	9.300562	26214	5243265	0
16384	5	9.354447	26214	5243265	0
16384	12	13.450535	16384	3277265	0
16384	12	11.379653	16384	3277265	0
16384	12	14.760854	16384	3277265	0
16384	12	12.648540	16384	3277265	0
16384	12	17.197139	16384	3277265	0
16384	12	11.085376	16384	3277265	0
16384	12	12.046267	16384	3277265	0
16384	12	14.322644	16384	3277265	0
16384	12	13.134563	16384	3277265	0
16384	12	15.137192	16384	3277265	0
16384	51	18.258259	16384	3277265	0
16384	51	20.007913	16384	3277265	0
16384	51	20.965735	16384	3277265	0
16384	51	20.743268	16384	3277265	0
16384	51	17.527561	16384	3277265	0
16384	51	19.606616	16384	3277265	0
16384	51	20.886006	16384	3277265	0
16384	51	22.547490	16384	3277265	0
16384	51	22.116509	16384	3277265	0
16384	51	19.172053	16384	3277265	0
16384	93	17.189299	16384	3277265	0
16384	93	16.653018	16384	3277265	0
16384	93	16.585386	16384	3277265	0
16384	93	16.671509	16384	3277265	0
16384	93	16.561777	16384	3277265	0
16384	93	17.206277	16384	3277265	0
16384	93	15.907222	16384	3277265	0
16384	93	17.367878	16384	3277265	0
16384	93	18.237378	16384	3277265	0
16384	93	16.150886	16384	3277265	0
32768	1	9.419120	262144	52429265	0
32768	1	9.468072	262144	52429265	0
32768	1	10.976029	262144	52429265	0
32768	1	12.529850	262144	52429265	0
32768	1	14.514223	262144	52429265	0
32768	1	14.369287	262144	52429265	0
32768	1	10.395991	262144	52429265	0
32768	1	13.818024	262144	52429265	0
32768	1	11.886775	262144	52429265	0
32768	1	10.074638	262144	52429265	0
32768	5	10.385488	52428	10486065	0
32768	5	10.401360	52428	10486065	0
32768	5	12.165116	52428	10486065	0
32768	5	11.526127	52428	10486065	0
32768	5	10.546512	52428	10486065	0
32768	5	10.194202	52428	10486065	0
32768	5	10.589945	52428	10486065	0
32768	5	10.869030	52428	10486065	0
32768	5	10.949071	52428	10486065	0
32768	5	10.629110	52428	10486065	0
32768	12	19.620292	32768	6554065	0
32768	12	19.302065	32768	6554065	0
32768	12	21.917482	32768	6554065	0
32768	12	21.872814	32768	6554065	0
32768	12	21.183114	32768	6554065	0
32768	12	22.279093	32768	6554065	0
32768	12	22.355845	32768	6554065	0
32768	12	21.369596	32768	6554065	0
32768	12	21.439026	32768	6554065	0
32768	12	20.806481	32768	6554065	0
32768	51	30.171580	32768	6554065	0
32768	51	27.834823	32768	6554065	0
32768	51	29.781990	32768	6554065	0
32768	51	31.673470	32768	6554065	0
32768	51	30.651734	32768	6554065	0
32768	51	29.469996	32768	6554065	0
32768	51	27.599719	32768	6554065	0
32768	51	29.952567	32768	6554065	0
32768	51	27.551927	32768	6554065	0
32768	51	29.236725	32768	6554065	0
32768	93	25.117532	32768	6554065	0
32768	93	26.026499	32768	6554065	0
32768	93	26.086229	32768	6554065	0
32768	93	24.359990	32768	6554065	0
32768	93	25.933517	32768	6554065	0
32768	93	27.074246	32768	6554065	0
32768	93	29.788448	32768	6554065	0
32768	93	30.478317	32768	6554065	0
32768	93	33.426123	32768	6554065	0
32768	93	29.173927	32768	6554065	0
