L	D	resultado	R	PAPI_L2_TCA	fallo
3072	5	9.184423	4915	338094	0
3072	5	9.168936	4915	338191	0
3072	5	9.395947	4915	338384	0
3072	5	11.083459	4915	338205	0
3072	5	9.288407	4915	338196	0
3072	12	10.035521	3072	326432	0
3072	12	10.419727	3072	326543	0
3072	12	10.322240	3072	326348	0
3072	12	10.044310	3072	326454	0
3072	12	10.374492	3072	326419	0
3072	12	9.997630	3072	326468	0
3072	12	10.243164	3072	326527	0
3072	12	10.044935	3072	326396	0
3072	12	10.065964	3072	326433	0
3072	12	10.363672	3072	326256	0
3072	51	11.176771	3072	326655	0
3072	51	11.196849	3072	326710	0
3072	51	10.544596	3072	326259	0
3072	51	10.720898	3072	326599	0
3072	51	12.376146	3072	326638	0
3072	51	11.189818	3072	326492	0
3072	51	10.600846	3072	326617	0
3072	51	10.490898	3072	326424	0
3072	51	10.805117	3072	326453	0
3072	51	11.122760	3072	326708	0
3072	93	10.821094	3072	330155	0
3072	93	11.008385	3072	331239	0
3072	93	11.139844	3072	330776	0
3072	93	13.881849	3072	330750	0
3072	93	11.421302	3072	330162	0
3072	93	11.306432	3072	330398	0
3072	93	11.653359	3072	330067	0
3072	93	11.253698	3072	330861	0
3072	93	11.276484	3072	330230	0
3072	93	11.236237	3072	331172	0
8192	1	9.170189	65536	1229639	0
8192	1	9.361703	65536	1229768	0
8192	1	9.364645	65536	1230020	0
8192	1	9.115658	65536	1229466	0
8192	1	9.160331	65536	1229495	0
8192	1	9.280511	65536	1229690	0
8192	1	9.156236	65536	1229703	0
8192	1	9.286221	65536	1230103	0
8192	1	9.386444	65536	1229597	0
8192	1	9.354700	65536	1229696	0
8192	5	9.229325	13107	901417	0
8192	5	9.214417	13107	901467	0
8192	5	9.486085	13107	901079	0
8192	5	9.246619	13107	901436	0
8192	5	9.244791	13107	901314	0
8192	5	9.265763	13107	901445	0
8192	5	9.343325	13107	901382	0
8192	5	9.256480	13107	901485	0
8192	5	9.258216	13107	901359	0
8192	5	9.668611	13107	901617	0
8192	12	10.742095	8192	870594	0
8192	12	10.764712	8192	870511	0
8192	12	10.753931	8192	870537	0
8192	12	11.055664	8192	870250	0
8192	12	10.730776	8192	870544	0
8192	12	10.742729	8192	870583	0
8192	12	10.710547	8192	870676	0
8192	12	11.237207	8192	870496	0
8192	12	11.718442	8192	871281	0
8192	12	10.716279	8192	870717	0
8192	51	14.193540	8192	881716	0
8192	51	13.184551	8192	881622	0
8192	51	13.568135	8192	881831	0
8192	51	16.660356	8192	881431	0
8192	51	13.337500	8192	881525	0
8192	51	16.018145	8192	881717	0
8192	51	14.383306	8192	881755	0
8192	51	13.048599	8192	881392	0
8192	51	13.990869	8192	881643	0
8192	51	13.600688	8192	881725	0
