L	D	resultado	R	PAPI_LD_INS	fallo
256	1	18.075200	2048	2253761	0
256	1	14.086660	2048	2253748	0
256	1	12.632349	2048	2253868	0
256	1	13.041235	2048	2253753	0
256	1	12.390400	2048	2253754	0
256	1	13.046689	2048	2253863	0
256	1	11.463784	2048	2253752	0
256	1	11.463120	2048	2253748	0
256	1	11.479697	2048	2253751	0
256	1	11.405625	2048	2253812	0
256	5	10.851932	409	450838	0
256	5	11.234132	409	450835	0
256	5	11.244108	409	450837	0
256	5	10.843521	409	450843	0
256	5	10.550905	409	450844	0
256	5	10.467286	409	450844	0
256	5	10.551589	409	450837	0
256	5	10.457017	409	450841	0
256	5	10.149731	409	450840	0
256	5	10.128411	409	450842	0
256	12	9.969531	256	282542	0
256	12	10.057656	256	282539	0
256	12	9.955625	256	282539	0
256	12	9.974531	256	282542	0
256	12	9.661406	256	282537	0
256	12	9.360312	256	282545	0
256	12	9.368281	256	282539	0
256	12	9.389531	256	282536	0
256	12	10.353594	256	282552	0
256	12	9.376094	256	282542	0
256	51	9.363594	256	282540	0
256	51	9.428750	256	282538	0
256	51	9.342813	256	282541	0
256	51	9.465156	256	282537	0
256	51	9.380625	256	282542	0
256	51	11.883125	256	282546	0
256	51	9.381250	256	282539	0
256	51	9.363281	256	282543	0
256	51	9.367031	256	282539	0
256	51	9.371562	256	282539	0
256	93	9.786875	256	282542	0
256	93	9.407187	256	282540	0
256	93	9.527656	256	282543	0
256	93	11.956094	256	282549	0
256	93	9.800937	256	282541	0
256	93	9.396406	256	282543	0
256	93	9.395781	256	282545	0
256	93	9.448438	256	282546	0
256	93	9.398750	256	282542	0
256	93	9.589375	256	282542	0
768	1	9.114375	6144	6759361	0
768	1	9.232070	6144	6759601	0
768	1	9.088548	6144	6759355	0
768	1	9.164062	6144	6759461	0
768	1	9.122493	6144	6759465	0
768	1	9.301699	6144	6759464	0
768	1	9.088848	6144	6759352	0
768	1	9.209128	6144	6759456	0
768	1	9.478346	6144	6759337	0
768	1	9.332012	6144	6759505	0
768	5	11.709935	1228	1351328	0
768	5	9.218371	1228	1351761	0
768	5	9.221042	1228	1351753	0
768	5	9.222052	1228	1351752	0
768	5	9.253746	1228	1351756	0
768	5	9.274723	1228	1351759	0
768	5	9.226189	1228	1351753	0
768	5	10.830554	1228	1351567	0
768	5	9.488371	1228	1351746	0
768	5	9.223616	1228	1351756	0
768	12	9.494531	768	845756	0
768	12	9.504167	768	845755	0
768	12	11.169635	768	846171	0
768	12	9.480833	768	845752	0
768	12	12.373333	768	844787	0
768	12	9.454167	768	845759	0
768	12	9.993698	768	845750	0
768	12	9.492292	768	845755	0
768	12	9.495625	768	845758	0
768	12	9.476250	768	845753	0
768	51	9.900313	768	845752	0
768	51	9.892917	768	845755	0
768	51	9.632917	768	845758	0
768	51	9.483125	768	845752	0
768	51	12.136979	768	846093	0
768	51	9.723177	768	845756	0
768	51	9.493073	768	845753	0
768	51	9.632656	768	845754	0
768	51	9.720104	768	845760	0
768	51	9.610833	768	845762	0
768	93	9.691094	768	845756	0
768	93	9.662760	768	845756	0
768	93	9.643594	768	845758	0
768	93	9.943385	768	845757	0
768	93	10.260052	768	845855	0
768	93	9.805417	768	845758	0
768	93	9.730469	768	845757	0
768	93	10.637292	768	845728	0
768	93	9.821042	768	845756	0
768	93	13.103021	768	835745	0
2048	1	9.139880	16384	18023546	0
2048	1	9.171694	16384	18023549	0
2048	1	9.110449	16384	18023430	0
2048	1	9.256016	16384	18023458	0
2048	1	9.118940	16384	18023454	0
2048	1	9.174512	16384	18023625	0
2048	1	9.683708	16384	18023456	0
2048	1	9.111479	16384	18023447	0
2048	1	9.202712	16384	18023449	0
2048	1	9.160002	16384	18023513	0
2048	5	12.059841	3276	3603184	0
2048	5	10.171087	3276	3604280	0
2048	5	9.181929	3276	3604563	0
2048	5	9.218034	3276	3604548	0
2048	5	9.182308	3276	3604559	0
2048	5	9.410012	3276	3604661	0
2048	5	9.237387	3276	3604556	0
2048	5	9.332442	3276	3604666	0
2048	5	9.215201	3276	3604554	0
2048	5	9.233834	3276	3604662	0
2048	12	9.527344	2048	2253759	0
2048	12	9.467773	2048	2253757	0
2048	12	9.671309	2048	2253764	0
2048	12	9.404961	2048	2253761	0
2048	12	9.403320	2048	2253759	0
2048	12	9.441172	2048	2253755	0
2048	12	10.092129	2048	2253755	0
2048	12	9.752988	2048	2253758	0
2048	12	14.275215	2048	2248967	0
2048	12	9.488379	2048	2253757	0
2048	51	10.113613	2048	2253643	0
2048	51	9.916914	2048	2253755	0
2048	51	10.277734	2048	2253780	0
2048	51	10.643945	2048	2252126	0
2048	51	10.210566	2048	2253761	0
2048	51	9.885605	2048	2253751	0
2048	51	9.905840	2048	2253763	0
2048	51	10.008652	2048	2253759	0
2048	51	10.003945	2048	2253757	0
2048	51	10.526660	2048	2253763	0
2048	93	9.837227	2048	2253755	0
2048	93	9.924512	2048	2253756	0
2048	93	10.011484	2048	2253291	0
2048	93	11.231914	2048	2249806	0
2048	93	9.983496	2048	2253764	0
2048	93	10.049687	2048	2253753	0
2048	93	9.939336	2048	2253760	0
2048	93	10.114688	2048	2253604	0
2048	93	12.854121	2048	2253747	0
2048	93	10.298418	2048	2253758	0
3072	1	9.104303	24576	27034747	0
3072	1	9.486686	24576	27034907	0
3072	1	9.174578	24576	27034843	0
3072	1	9.127386	24576	27034835	0
3072	1	9.444897	24576	27034628	0
3072	1	9.091950	24576	27034658	0
3072	1	9.130762	24576	27034884	0
3072	1	9.475312	24576	27034755	0
3072	1	9.147310	24576	27034762	0
3072	1	9.097757	24576	27034664	0
3072	5	9.297864	4915	5407462	0
3072	5	9.238698	4915	5407547	0
3072	5	9.169416	4915	5407460	0
3072	5	9.256952	4915	5407541	0
3072	5	9.182006	4915	5407458	0
3072	5	9.756777	4915	5407407	0
3072	5	9.177758	4915	5407461	0
3072	5	9.182763	4915	5407458	0
3072	5	9.598804	4915	5407628	0
3072	5	9.170848	4915	5407460	0
3072	12	10.816641	3072	3380421	0
3072	12	10.336979	3072	3380160	0
3072	12	10.268177	3072	3380161	0
3072	12	10.112904	3072	3380152	0
3072	12	9.944180	3072	3380158	0
3072	12	10.410430	3072	3380176	0
3072	12	13.142669	3072	3374818	0
3072	12	10.263685	3072	3380242	0
3072	12	10.019089	3072	3380161	0
3072	12	10.118763	3072	3380160	0
3072	51	10.165065	3072	3380155	0
3072	51	13.563229	3072	3366644	0
3072	51	10.950716	3072	3380100	0
3072	51	11.064414	3072	3378054	0
3072	51	10.837786	3072	3380156	0
3072	51	10.437331	3072	3380159	0
3072	51	10.819883	3072	3380159	0
3072	51	10.521940	3072	3379919	0
3072	51	10.559727	3072	3380162	0
