L	D	resultado	R	PAPI_L3_TCM	fallo
3072	12	10.152227	3072	419	0
3072	12	10.456315	3072	74	0
3072	12	10.090156	3072	598	0
3072	12	10.293503	3072	87	0
3072	12	10.650859	3072	979	0
3072	12	9.902943	3072	22	0
3072	12	10.488333	3072	1099	0
3072	12	10.453906	3072	1126	0
3072	51	10.948789	3072	3075	0
3072	51	10.437422	3072	749	0
3072	51	10.298555	3072	589	0
3072	51	10.252122	3072	593	0
3072	51	11.032930	3072	2152	0
3072	51	11.110052	3072	1637	0
3072	51	11.224544	3072	1135	0
3072	51	11.020911	3072	996	0
3072	51	10.774505	3072	2074	0
3072	51	10.338021	3072	732	0
3072	93	11.434844	3072	1637	0
3072	93	10.906432	3072	1403	0
3072	93	11.453828	3072	3076	0
3072	93	11.396862	3072	1514	0
3072	93	11.168021	3072	1419	0
3072	93	11.183307	3072	1924	0
3072	93	11.854922	3072	4771	0
3072	93	11.269505	3072	1122	0
3072	93	10.836836	3072	1422	0
3072	93	13.905339	3072	3338	0
8192	1	9.131572	65536	181	0
8192	1	9.348531	65536	986	0
8192	1	9.345572	65536	1110	0
8192	1	9.149707	65536	349	0
8192	1	9.152161	65536	826	0
8192	1	9.378099	65536	1629	0
8192	1	9.287001	65536	2057	0
8192	1	9.129886	65536	163	0
8192	1	9.165441	65536	1233	0
8192	1	9.331946	65536	1558	0
8192	5	9.384964	13107	1487	0
8192	5	9.263557	13107	1067	0
8192	5	9.464698	13107	2535	0
8192	5	9.314739	13107	665	0
8192	5	9.228482	13107	1119	0
8192	5	9.574417	13107	1043	0
8192	5	9.332149	13107	1425	0
8192	5	9.233408	13107	906	0
8192	5	9.246815	13107	312	0
8192	5	9.611481	13107	2421	0
8192	12	10.892998	8192	2360	0
8192	12	10.946206	8192	3318	0
8192	12	10.755630	8192	3038	0
8192	12	11.457231	8192	6330	0
8192	12	10.911841	8192	1993	0
8192	12	10.723457	8192	1979	0
8192	12	10.730625	8192	2082	0
8192	12	11.289551	8192	4599	0
8192	12	10.789663	8192	2107	0
8192	12	10.765791	8192	2514	0
8192	51	15.586021	8192	19734	0
8192	51	14.328818	8192	12364	0
8192	51	13.638340	8192	8950	0
8192	51	15.085439	8192	46004	0
8192	51	13.407363	8192	10703	0
8192	51	16.295298	8192	14345	0
8192	51	14.620029	8192	25105	0
8192	51	13.332954	8192	8162	0
8192	51	15.185679	8192	47003	0
8192	51	13.519937	8192	9391	0
8192	93	16.464546	8192	48774	0
8192	93	13.262866	8192	8517	0
8192	93	17.811631	8192	62921	0
8192	93	13.437578	8192	8801	0
8192	93	17.387490	8192	70390	0
8192	93	14.533950	8192	29889	0
8192	93	16.233521	8192	57491	0
8192	93	16.336855	8192	11633	0
8192	93	13.575298	8192	12954	0
8192	93	14.282080	8192	11068	0
16384	1	9.406714	131072	33923	0
16384	1	9.316711	131072	15179	0
16384	1	9.229325	131072	12639	0
16384	1	9.315917	131072	8381	0
16384	1	9.364832	131072	16839	0
16384	1	9.249761	131072	13423	0
16384	1	9.399485	131072	21325	0
16384	1	9.281671	131072	10034	0
16384	1	9.196838	131072	6513	0
16384	1	9.371742	131072	7530	0
16384	5	9.238508	26214	1927	0
16384	5	9.435050	26214	6637	0
16384	5	9.346584	26214	16944	0
16384	5	9.745246	26214	7014	0
16384	5	9.705838	26214	77229	0
16384	5	9.780954	26214	35967	0
16384	5	9.372726	26214	4997	0
16384	5	9.238705	26214	2386	0
16384	5	9.844521	26214	23879	0
16384	5	9.420331	26214	20320	0
16384	12	15.198823	16384	103987	0
16384	12	12.238149	16384	85530	0
16384	12	10.952275	16384	13070	0
16384	12	14.134436	16384	118187	0
16384	12	12.464814	16384	96721	0
16384	12	16.113994	16384	166557	0
16384	12	11.663066	16384	44334	0
16384	12	12.801353	16384	116724	0
16384	12	13.755225	16384	117919	0
16384	12	13.731294	16384	144722	0
16384	51	17.373765	16384	123043	0
16384	51	24.011414	16384	238962	0
16384	51	19.748613	16384	132141	0
16384	51	18.873315	16384	179294	0
16384	51	17.292546	16384	125153	0
16384	51	23.361501	16384	257452	0
16384	51	23.216521	16384	204962	0
16384	51	18.930969	16384	147451	0
16384	51	17.540906	16384	132374	0
16384	51	21.959868	16384	230980	0
16384	93	18.472915	16384	139563	0
16384	93	17.865137	16384	146887	0
16384	93	16.802979	16384	98016	0
16384	93	17.647510	16384	137328	0
16384	93	17.115930	16384	84819	0
16384	93	17.933220	16384	111790	0
16384	93	20.553269	16384	194833	0
16384	93	18.269990	16384	111073	0
16384	93	19.511150	16384	114438	0
16384	93	19.384580	16384	129616	0
32768	1	9.403643	262144	74927	0
32768	1	10.932455	262144	54726	0
32768	1	13.832044	262144	66142	0
