L	D	resultado	R	PAPI_L2_TCM	fallo
256	1	20.471270	2048	380	0
256	1	16.295464	2048	161	0
256	1	14.063369	2048	140	0
256	1	13.390864	2048	137	0
256	1	14.170488	2048	228	0
256	1	12.393496	2048	137	0
256	1	12.891162	2048	149	0
256	1	11.908818	2048	132	0
256	1	11.472661	2048	153	0
256	1	11.460044	2048	150	0
256	5	11.646284	409	152	0
256	5	11.649095	409	148	0
256	5	11.208068	409	138	0
256	5	10.894181	409	164	0
256	5	11.213692	409	176	0
256	5	10.474328	409	148	0
256	5	10.829144	409	153	0
256	5	10.475990	409	149	0
256	5	10.513056	409	174	0
256	5	10.150807	409	146	0
256	12	14.148594	256	343	0
256	12	9.958125	256	199	0
256	12	9.666875	256	232	0
256	12	9.654844	256	231	0
256	12	12.153281	256	259	0
256	12	9.648750	256	218	0
256	12	9.674531	256	202	0
256	12	9.654375	256	221	0
256	12	9.404844	256	190	0
256	12	9.345781	256	206	0
256	51	9.384531	256	347	0
256	51	9.371875	256	342	0
256	51	9.361719	256	352	0
256	51	9.391562	256	340	0
256	51	9.427500	256	343	0
256	51	9.371094	256	332	0
256	51	10.701719	256	480	0
256	51	9.403281	256	342	0
256	51	9.381094	256	338	0
256	51	9.405313	256	331	0
256	93	9.444375	256	347	0
256	93	9.666562	256	357	0
256	93	9.515156	256	335	0
256	93	9.408594	256	359	0
256	93	9.382031	256	337	0
256	93	9.485469	256	350	0
256	93	9.393906	256	339	0
256	93	9.646562	256	368	0
256	93	9.479219	256	335	0
256	93	9.436250	256	341	0
768	1	9.089785	6144	288	0
768	1	9.255215	6144	464	0
768	1	9.091842	6144	265	0
768	1	9.192376	6144	434	0
768	1	9.240299	6144	448	0
768	1	9.204857	6144	467	0
768	1	9.181172	6144	430	0
768	1	9.293385	6144	502	0
768	1	9.092285	6144	276	0
768	1	10.449290	6144	1314	0
768	5	9.269902	1228	432	0
768	5	9.236580	1228	374	0
768	5	10.213127	1228	632	0
768	5	9.415863	1228	713	0
768	5	9.290033	1228	371	0
768	5	9.383225	1228	830	0
768	5	12.141889	1228	595	0
768	5	9.328143	1228	610	0
768	5	9.281954	1228	546	0
768	5	9.329772	1228	619	0
768	12	9.868646	768	1124	0
768	12	9.637500	768	674	0
768	12	9.587500	768	543	0
768	12	11.027760	768	1321	0
768	12	9.586302	768	502	0
768	12	9.487917	768	472	0
768	12	10.395208	768	544	0
768	12	9.493542	768	454	0
768	12	9.509583	768	537	0
768	12	10.473073	768	577	0
768	51	9.528229	768	912	0
768	51	9.903385	768	1211	0
768	51	9.884427	768	1239	0
768	51	9.637604	768	955	0
768	51	9.487135	768	899	0
768	51	9.563750	768	925	0
768	51	9.800104	768	3551	0
768	51	10.414583	768	986	0
768	51	9.631562	768	999	0
768	51	9.547396	768	934	0
768	93	9.883854	768	1057	0
768	93	9.650521	768	1040	0
768	93	9.892656	768	986	0
768	93	10.561198	768	1503	0
768	93	9.798750	768	986	0
768	93	10.038490	768	1234	0
768	93	9.771615	768	1200	0
768	93	9.841823	768	4391	0
768	93	10.115469	768	1248	0
768	93	10.446823	768	1266	0
2048	1	9.111609	16384	2069	0
2048	1	9.146487	16384	3432	0
2048	1	9.789480	16384	4328	0
2048	1	9.119932	16384	2689	0
2048	1	9.202134	16384	3160	0
2048	1	9.160967	16384	4132	0
2048	1	9.416599	16384	1998	0
2048	1	9.183994	16384	3338	0
2048	1	9.098062	16384	2028	0
2048	1	9.333406	16384	3585	0
2048	5	9.621282	3276	2302	0
2048	5	9.187619	3276	846	0
2048	5	9.190159	3276	697	0
2048	5	9.554994	3276	1169	0
2048	5	9.204310	3276	872	0
2048	5	9.787082	3276	1586	0
2048	5	9.232918	3276	740	0
2048	5	9.198767	3276	724	0
2048	5	9.182576	3276	647	0
2048	5	9.358926	3276	2873	0
2048	12	9.542402	2048	6094	0
2048	12	9.834336	2048	16408	0
2048	12	11.741250	2048	6788	0
2048	12	10.872012	2048	18511	0
2048	12	9.409648	2048	1202	0
2048	12	9.926641	2048	20134	0
2048	12	9.792598	2048	5377	0
2048	12	9.475762	2048	2642	0
2048	12	9.583262	2048	1305	0
2048	12	10.184883	2048	16593	0
2048	51	10.130156	2048	23703	0
2048	51	9.780313	2048	8787	0
2048	51	10.151816	2048	20141	0
