L	D	resultado	R	PAPI_L3_TCA	fallo
256	1	19.368672	2048	143	0
256	1	13.505288	2048	158	0
256	1	15.019902	2048	144	0
256	1	13.817031	2048	236	0
256	1	12.392588	2048	159	0
256	1	12.413936	2048	288	0
256	1	11.907500	2048	143	0
256	1	13.307446	2048	246	0
256	1	12.520122	2048	161	0
256	1	11.922837	2048	134	0
256	5	11.631614	409	147	0
256	5	11.612518	409	154	0
256	5	12.975403	409	254	0
256	5	10.827090	409	144	0
256	5	11.229878	409	163	0
256	5	10.814866	409	146	0
256	5	10.822592	409	133	0
256	5	10.467971	409	138	0
256	5	10.155208	409	153	0
256	5	10.146406	409	159	0
256	12	10.265469	256	238	0
256	12	10.262031	256	209	0
256	12	9.973906	256	215	0
256	12	9.949219	256	195	0
256	12	9.638438	256	237	0
256	12	9.658750	256	197	0
256	12	9.670469	256	195	0
256	12	13.206094	256	500	0
256	12	9.350000	256	255	0
256	12	9.403125	256	222	0
256	51	9.375312	256	347	0
256	51	9.358594	256	327	0
256	51	9.358125	256	354	0
256	51	9.362344	256	350	0
256	51	9.393750	256	355	0
256	51	9.388438	256	341	0
256	51	9.496094	256	333	0
256	51	9.475156	256	358	0
256	51	9.363437	256	346	0
256	51	9.369375	256	344	0
256	93	9.406094	256	339	0
256	93	9.432813	256	348	0
256	93	9.391406	256	350	0
256	93	9.408437	256	350	0
256	93	9.641250	256	429	0
256	93	11.910312	256	429	0
256	93	10.207031	256	510	0
256	93	9.423906	256	337	0
256	93	9.442969	256	346	0
256	93	9.413125	256	344	0
768	1	9.176797	6144	387	0
768	1	9.091055	6144	280	0
768	1	9.282767	6144	443	0
768	1	9.092454	6144	275	0
768	1	9.359746	6144	516	0
768	1	9.261849	6144	593	0
768	1	9.217331	6144	420	0
768	1	9.170638	6144	398	0
768	1	9.157930	6144	374	0
768	1	9.572461	6144	827	0
768	5	9.218502	1228	303	0
768	5	9.225244	1228	248	0
768	5	9.224984	1228	261	0
768	5	9.217036	1228	245	0
768	5	9.227296	1228	294	0
768	5	9.218502	1228	259	0
768	5	10.144528	1228	449	0
768	5	9.222085	1228	309	0
768	5	9.215896	1228	259	0
768	5	9.254821	1228	310	0
768	12	9.457969	768	424	0
768	12	9.465521	768	459	0
768	12	9.481354	768	437	0
768	12	9.504635	768	478	0
768	12	9.504635	768	458	0
768	12	9.475625	768	456	0
768	12	9.497813	768	469	0
768	12	9.488750	768	462	0
768	12	9.488854	768	453	0
768	12	9.496667	768	470	0
768	51	10.166094	768	3272	0
768	51	9.803750	768	1109	0
768	51	9.530781	768	887	0
768	51	9.560937	768	918	0
768	51	9.499844	768	922	0
768	51	9.696094	768	1030	0
768	51	11.026510	768	1459	0
768	51	9.872813	768	1166	0
768	51	9.490781	768	892	0
768	51	9.509115	768	909	0
768	93	9.921667	768	7131	0
768	93	9.760833	768	1068	0
768	93	9.824479	768	1006	0
768	93	9.698333	768	915	0
768	93	10.932813	768	1252	0
768	93	9.768958	768	969	0
768	93	9.840625	768	982	0
768	93	9.876146	768	1581	0
768	93	10.088542	768	6319	0
768	93	10.596615	768	3797	0
2048	1	9.214890	16384	1697	0
2048	1	9.097244	16384	2291	0
2048	1	9.611492	16384	2526	0
2048	1	9.155281	16384	1162	0
2048	1	9.125730	16384	3231	0
2048	1	9.133640	16384	3772	0
2048	1	9.264724	16384	1038	0
2048	1	9.101843	16384	3335	0
2048	1	9.094460	16384	741	0
2048	1	9.392004	16384	3229	0
2048	5	9.216313	3276	701	0
2048	5	9.188095	3276	650	0
2048	5	9.182112	3276	634	0
2048	5	9.189328	3276	647	0
2048	5	9.186007	3276	618	0
2048	5	9.607021	3276	1186	0
2048	5	9.180806	3276	635	0
2048	5	9.193785	3276	632	0
2048	5	10.984713	3276	2722	0
2048	5	9.358498	3276	1098	0
2048	12	9.511074	2048	6896	0
2048	12	10.080723	2048	5499	0
2048	12	9.511563	2048	4328	0
2048	12	9.557852	2048	2862	0
2048	12	9.401055	2048	1284	0
2048	12	10.570762	2048	9651	0
2048	12	9.654043	2048	6814	0
2048	12	9.880957	2048	2989	0
2048	12	9.967793	2048	8911	0
2048	12	9.630605	2048	3497	0
2048	51	10.066875	2048	27999	0
2048	51	9.947832	2048	24460	0
2048	51	10.057207	2048	19099	0
2048	51	12.555371	2048	15809	0
2048	51	10.254180	2048	23888	0
2048	51	10.054668	2048	27431	0
2048	51	10.580176	2048	26334	0
2048	51	9.877480	2048	12654	0
2048	51	10.229707	2048	13974	0
2048	51	10.083086	2048	30376	0
2048	93	9.897832	2048	8070	0
2048	93	10.127480	2048	10627	0
2048	93	10.711621	2048	11046	0
2048	93	12.622129	2048	16876	0
2048	93	10.469941	2048	11208	0
2048	93	9.997031	2048	7147	0
2048	93	10.015039	2048	10675	0
2048	93	13.277285	2048	13810	0
2048	93	9.935820	2048	7500	0
2048	93	10.032441	2048	8151	0
3072	1	9.469798	24576	7905	0
3072	1	9.138949	24576	8343	0
3072	1	9.133949	24576	8004	0
3072	1	9.392738	24576	8715	0
3072	1	9.108421	24576	5476	0
3072	1	9.151766	24576	6554	0
3072	1	9.597326	24576	9823	0
3072	1	9.141776	24576	8741	0
3072	1	9.138517	24576	8303	0
3072	1	9.682363	24576	8607	0
3072	5	9.449750	4915	8991	0
3072	5	9.182437	4915	5825	0
3072	5	9.183007	4915	3125	0
3072	5	9.410108	4915	5128	0
3072	5	9.266629	4915	2943	0
3072	5	9.167381	4915	821	0
3072	5	9.441685	4915	4106	0
3072	5	9.306303	4915	1097	0
3072	5	9.175325	4915	2949	0
3072	5	9.427060	4915	4149	0
3072	12	10.224870	3072	48929	0
3072	12	10.718711	3072	49849	0
3072	12	10.095964	3072	39472	0
3072	12	10.035625	3072	36829	0
3072	12	10.445495	3072	42684	0
3072	12	10.245573	3072	42190	0
3072	12	10.283437	3072	44505	0
3072	12	9.987865	3072	37007	0
3072	12	10.152135	3072	42255	0
3072	12	10.032643	3072	32905	0
3072	51	15.811549	3072	162843	0
3072	51	11.062513	3072	63278	0
3072	51	9.991523	3072	36886	0
3072	51	10.726432	3072	118787	0
3072	51	10.304232	3072	44473	0
3072	51	11.303971	3072	61189	0
3072	51	10.635898	3072	69279	0
3072	51	10.303008	3072	61672	0
