L	D	resultado	R	PAPI_L1_TCM	fallo
256	1	15.477383	2048	1825	0
256	1	16.284063	2048	10428	0
256	1	14.197510	2048	2026	0
256	1	19.519351	2048	28916	0
256	1	13.451670	2048	1673	0
256	1	13.643433	2048	1792	0
256	1	12.900767	2048	1220	0
256	1	12.916514	2048	1650	0
256	1	12.522939	2048	1040	0
256	1	12.385137	2048	1220	0
256	5	20.456406	409	3999	0
256	5	17.090831	409	1990	0
256	5	11.637042	409	493	0
256	5	11.357995	409	511	0
256	5	13.724694	409	1868	0
256	5	11.227139	409	507	0
256	5	10.858875	409	481	0
256	5	10.839022	409	485	0
256	5	11.755403	409	484	0
256	5	10.496039	409	479	0
256	12	10.683906	256	478	0
256	12	10.287656	256	490	0
256	12	10.260312	256	485	0
256	12	10.278594	256	483	0
256	12	10.263906	256	480	0
256	12	10.046953	256	501	0
256	12	9.958438	256	469	0
256	12	9.656406	256	491	0
256	12	9.679063	256	484	0
256	12	9.649219	256	487	0
256	51	9.367812	256	479	0
256	51	9.378750	256	483	0
256	51	9.478438	256	490	0
256	51	9.413438	256	481	0
256	51	10.306719	256	571	0
256	51	13.846719	256	1982	0
256	51	9.373437	256	971	0
256	51	9.412656	256	485	0
256	51	9.676562	256	538	0
256	51	9.813750	256	566	0
256	93	9.407031	256	5823	0
256	93	9.418906	256	5139	0
256	93	9.530000	256	5930	0
256	93	10.738594	256	6073	0
256	93	9.941094	256	6723	0
256	93	9.517031	256	5619	0
256	93	10.674375	256	6053	0
256	93	9.390313	256	5190	0
256	93	9.555469	256	4989	0
256	93	9.384531	256	6253	0
768	1	9.092539	6144	115389	0
768	1	10.230410	6144	116218	0
768	1	9.220781	6144	115547	0
768	1	9.091680	6144	115493	0
768	1	9.092396	6144	115335	0
768	1	9.089108	6144	115579	0
768	1	9.088997	6144	115386	0
768	1	9.100579	6144	115478	0
768	1	9.170814	6144	115462	0
768	1	9.090052	6144	115139	0
768	5	9.236612	1228	84509	0
768	5	9.214560	1228	84751	0
768	5	9.216612	1228	84503	0
768	5	9.765309	1228	84624	0
768	5	9.292834	1228	84546	0
768	5	9.217492	1228	84667	0
768	5	9.214169	1228	84449	0
768	5	9.219870	1228	84569	0
768	5	9.239609	1228	84347	0
768	5	9.222606	1228	84470	0
768	12	9.511927	768	81705	0
768	12	9.467760	768	81739	0
768	12	9.501354	768	81706	0
768	12	9.714219	768	81563	0
768	12	9.464115	768	81746	0
768	12	9.479375	768	81705	0
768	12	9.501042	768	81778	0
768	12	10.127865	768	81591	0
768	12	9.988490	768	81435	0
768	12	10.750365	768	81433	0
768	51	10.167135	768	81848	0
768	51	11.014219	768	81223	0
768	51	9.519896	768	81739	0
768	51	9.783958	768	81689	0
768	51	10.670104	768	81038	0
768	51	10.078021	768	81527	0
768	51	13.596094	768	80828	0
768	51	11.287240	768	80963	0
768	51	9.505677	768	81521	0
768	51	9.497760	768	81695	0
768	93	10.831094	768	77447	0
768	93	9.874271	768	77315	0
768	93	9.798125	768	77268	0
768	93	9.958594	768	76890	0
768	93	9.807708	768	76077	0
768	93	9.786250	768	77973	0
768	93	9.888281	768	76674	0
768	93	9.713906	768	77653	0
768	93	9.663542	768	76873	0
768	93	9.633229	768	77476	0
2048	1	9.222056	16384	307764	0
2048	1	9.373118	16384	307752	0
2048	1	9.475076	16384	307882	0
2048	1	9.135186	16384	307998	0
2048	1	10.155166	16384	307862	0
2048	1	9.150986	16384	307614	0
2048	1	9.110681	16384	307414	0
2048	1	9.134414	16384	307359	0
2048	1	9.367385	16384	307511	0
2048	1	9.137512	16384	307664	0
2048	5	9.338303	3276	225347	0
2048	5	9.405079	3276	225262	0
2048	5	9.508303	3276	225295	0
2048	5	10.097033	3276	225206	0
2048	5	9.346337	3276	225249	0
2048	5	9.399389	3276	225142	0
2048	5	9.628400	3276	225241	0
2048	5	9.337448	3276	225431	0
2048	5	9.228596	3276	225196	0
2048	5	9.675140	3276	225098	0
2048	12	10.386113	2048	217613	0
2048	12	10.598145	2048	217601	0
2048	12	9.900898	2048	217564	0
2048	12	9.424102	2048	217566	0
2048	12	9.408027	2048	217633	0
2048	12	10.490586	2048	217661	0
2048	12	10.305020	2048	217428	0
2048	12	9.421543	2048	217515	0
2048	12	9.975312	2048	217457	0
2048	12	9.819219	2048	217788	0
2048	51	10.016445	2048	217800	0
2048	51	10.205801	2048	217622	0
2048	51	10.025449	2048	217669	0
2048	51	9.836074	2048	217591	0
2048	51	10.071035	2048	217758	0
2048	51	10.102832	2048	217635	0
2048	51	10.137910	2048	217580	0
2048	51	10.131973	2048	217823	0
2048	51	10.070664	2048	217653	0
2048	51	9.921484	2048	217557	0
2048	93	10.185723	2048	217830	0
2048	93	10.302637	2048	218017	0
2048	93	10.168027	2048	218105	0
2048	93	10.219805	2048	217837	0
2048	93	10.253516	2048	217844	0
2048	93	10.323789	2048	217890	0
2048	93	10.446191	2048	217869	0
2048	93	9.861133	2048	217768	0
2048	93	10.005117	2048	217786	0
